sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,33372.89,310.03,40332.006,387.689,232678,30269211,290961
Blazing Shot,105,34668.981,36.376,4850.417,127.695,27300,3640243,95835
Drill,39,89715.385,34.297,4662.086,178.559,25740,3498900,134009
Heated Clean Shot,48,52060.688,26.862,3329.66,127.535,20160,2498913,95715
Shot,284,7473.239,30.273,2827.978,44.815,22720,2122400,33634
Heated Slug Shot,49,39811.735,20.893,2599.297,98.613,15680,1950775,74009
Double Check,80,23760.55,19.187,2532.767,76.162,14400,1900844,57160
Checkmate,79,23789.025,18.947,2504.105,75.767,14220,1879333,56863
Excavator,13,136271.846,11.432,2360.469,57.031,8580,1771534,42802
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,221505.857,8.394,2066.008,22.56,6300,1550541,16931
Heated Split Shot,50,27314.14,14.657,1819.727,68.317,11000,1365707,51272
Crowned Collider (pet),19,66008.0,13.823,1671.086,109.094,10374,1254152,81875
Arm Punch (pet),57,20305.316,12.759,1542.174,58.128,9576,1157403,43625
Chain Saw,13,88432.462,11.432,1531.806,101.988,8580,1149622,76542
Pile Bunker (pet),19,57543.368,12.051,1456.792,95.104,9044,1093324,71376
Wildfire (dot),7,151882.857,13.431,1416.627,15.468,10080,1063180,11609
Roller Dash (pet),19,38808.474,8.506,982.492,62.33,6384,737361,46779
