sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,27643.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
4738,5270,Auto,5595.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
6000,6578,Royal Authority,41703.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,41703,0,0
6978,7510,Auto,6379.0,0,22630,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,41703,0,0
7250,8540,Imperator,69246.0,0,22630,0,0,0,0,0,0,0,0,17548,0,31913,69246,0,27643,41703,0,0
8500,9034,Goring Blade,83572.0,0,22630,0,0,0,0,0,0,0,0,17548,83572,31913,69246,0,27643,41703,0,0
9218,9750,Auto,7973.0,0,30603,0,0,0,0,0,0,0,0,17548,83572,31913,69246,0,27643,41703,0,0
9125,10148,Circle of Scorn,16704.0,0,30603,0,0,0,0,16704,0,0,0,17548,83572,31913,69246,0,27643,41703,0,0
9125,10500,Circle of Scorn (dot),3575.0,0,30603,0,0,0,0,16704,3575,0,0,17548,83572,31913,69246,0,27643,41703,0,0
11000,11758,Holy Spirit,59693.0,0,30603,0,0,0,0,16704,3575,0,0,17548,83572,91606,69246,0,27643,41703,0,0
11625,11982,Expiacion,53719.0,0,30603,0,0,0,0,16704,3575,0,53719,17548,83572,91606,69246,0,27643,41703,0,0
11458,11990,Auto,7973.0,0,38576,0,0,0,0,16704,3575,0,53719,17548,83572,91606,69246,0,27643,41703,0,0
9125,13500,Circle of Scorn (dot),3575.0,0,38576,0,0,0,0,16704,7150,0,53719,17548,83572,91606,69246,0,27643,41703,0,0
13500,14123,Confiteor,119393.0,0,38576,0,0,0,0,16704,7150,119393,53719,17548,83572,91606,69246,0,27643,41703,0,0
13698,14230,Auto,7973.0,0,46549,0,0,0,0,16704,7150,119393,53719,17548,83572,91606,69246,0,27643,41703,0,0
14125,14703,Intervene,17902.0,0,46549,0,0,0,0,16704,7150,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
15938,16470,Auto,7973.0,0,54522,0,0,0,0,16704,7150,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
9125,16500,Circle of Scorn (dot),3575.0,0,54522,0,0,0,0,16704,10725,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
16000,16666,Blade of Faith,90737.0,0,54522,90737,0,0,0,16704,10725,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
18178,18710,Auto,7973.0,0,62495,90737,0,0,0,16704,10725,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
18500,19391,Blade of Truth,105064.0,0,62495,90737,0,105064,0,16704,10725,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
9125,19500,Circle of Scorn (dot),3575.0,0,62495,90737,0,105064,0,16704,14300,119393,53719,17548,83572,91606,69246,17902,27643,41703,0,0
19125,19703,Intervene,17902.0,0,62495,90737,0,105064,0,16704,14300,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
20418,20950,Auto,7973.0,0,70468,90737,0,105064,0,16704,14300,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
21000,21891,Blade of Valor,119393.0,0,70468,90737,0,105064,119393,16704,14300,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
9125,22500,Circle of Scorn (dot),3575.0,0,70468,90737,0,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
21625,22785,Blade of Honor,119393.0,0,70468,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
22658,23190,Auto,7973.0,0,78441,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
23500,24793,Atonement,54916.0,54916,78441,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
24898,25430,Auto,7594.0,54916,86035,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,0
26000,27160,Supplication,56851.0,54916,86035,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,56851
27138,27670,Auto,7208.0,54916,93243,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,0,56851
28500,29790,Sepulchre,46625.0,54916,93243,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,46625,56851
29378,29910,Auto,5767.0,54916,99010,90737,119393,105064,119393,16704,17875,119393,53719,17548,83572,91606,69246,35804,27643,41703,46625,56851
