sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,869,24435.539,307.042,28040.094,378.045,232520,21234483,286290
Auto,338,5981.479,40.17,2669.704,38.137,30420,2021740,28881
Sepulchre,34,47229.412,24.244,2120.456,95.32,18360,1605800,72185
Holy Spirit,35,44532.743,22.977,2058.189,91.355,17400,1558646,69182
Supplication,34,43335.353,22.448,1945.625,87.517,17000,1473402,66276
Blade of Honor,13,107529.462,17.166,1845.902,134.277,13000,1397883,101687
Blade of Valor,13,107529.462,17.166,1845.902,134.277,13000,1397883,101687
Confiteor,13,107529.462,17.166,1845.902,134.277,13000,1397883,101687
Royal Authority,34,39108.176,20.653,1755.837,78.535,15640,1329678,59474
Atonement,34,38509.588,20.653,1728.962,77.118,15640,1309326,58401
Blade of Truth,13,94624.769,15.106,1624.374,118.162,11440,1230122,89483
Blade of Faith,13,81723.154,13.047,1402.898,102.052,9880,1062401,77283
Expiacion,25,42394.28,14.856,1399.539,73.782,11250,1059857,55874
Goring Blade,13,75268.923,12.017,1292.102,93.993,9100,978496,71180
Riot Blade,34,26492.941,14.816,1189.452,52.605,11220,900760,39837
Imperator,13,62364.154,9.957,1070.573,77.876,7540,810734,58975
Fast Blade,34,17590.5,9.877,789.76,34.923,7480,598077,26447
Intervene,26,16125.231,5.15,553.627,28.475,3900,419256,21564
Circle of Scorn (dot),125,2823.88,4.952,466.116,10.985,3750,352985,8319
Circle of Scorn,25,13182.16,4.622,435.175,22.94,3500,329554,17372
