sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,22.0,43,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12932.0,43,53462,12932,0,49391,0,0
5841,6511,Dosis III,56135.0,43,109597,12932,0,49391,0,0
6701,7233,Auto,23.0,66,109597,12932,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12932.0,66,109597,25864,0,49391,0,0
7322,7992,Phlegma III,107342.0,66,109597,25864,107342,49391,0,0
7942,9042,Psyche,107342.0,66,109597,25864,107342,49391,107342,0
9501,10033,Auto,23.0,89,109597,25864,107342,49391,107342,0
9762,10432,Phlegma III,107342.0,89,109597,25864,214684,49391,107342,0
940,10500,Eukrasian Dosis III (dot),12932.0,89,109597,38796,214684,49391,107342,0
940,13500,Eukrasian Dosis III (dot),12932.0,89,109597,51728,214684,49391,107342,0
13163,13833,Dosis III,59093.0,89,168690,51728,214684,49391,107342,0
13663,14195,Auto,23.0,112,168690,51728,214684,49391,107342,0
15603,16273,Dosis III,59093.0,112,227783,51728,214684,49391,107342,0
940,16500,Eukrasian Dosis III (dot),12932.0,112,227783,64660,214684,49391,107342,0
16463,16995,Auto,23.0,135,227783,64660,214684,49391,107342,0
18044,18714,Dosis III,59093.0,135,286876,64660,214684,49391,107342,0
940,19500,Eukrasian Dosis III (dot),12932.0,135,286876,77592,214684,49391,107342,0
19263,19795,Auto,23.0,158,286876,77592,214684,49391,107342,0
20484,21154,Dosis III,59093.0,158,345969,77592,214684,49391,107342,0
940,22500,Eukrasian Dosis III (dot),12932.0,158,345969,90524,214684,49391,107342,0
22924,23594,Dosis III,59093.0,158,405062,90524,214684,49391,107342,0
23424,23956,Auto,23.0,181,405062,90524,214684,49391,107342,0
940,25500,Eukrasian Dosis III (dot),12932.0,181,405062,103456,214684,49391,107342,0
26224,26756,Auto,22.0,203,405062,103456,214684,49391,107342,0
25406,28500,Eukrasian Dosis III (dot),13613.0,203,405062,117069,214684,49391,107342,0
27866,28536,Dosis III,53462.0,203,458524,117069,214684,49391,107342,0
29024,29556,Auto,21.0,224,458524,117069,214684,49391,107342,0
30307,30977,Dosis III,53462.0,224,511986,117069,214684,49391,107342,0
25406,31500,Eukrasian Dosis III (dot),13613.0,224,511986,130682,214684,49391,107342,0
32747,33417,Dosis III,49391.0,224,561377,130682,214684,49391,107342,0
33247,33779,Auto,21.0,245,561377,130682,214684,49391,107342,0
25406,34500,Eukrasian Dosis III (dot),13613.0,245,561377,144295,214684,49391,107342,0
35188,35858,Dosis III,49391.0,245,610768,144295,214684,49391,107342,0
36047,36579,Auto,21.0,266,610768,144295,214684,49391,107342,0
25406,37500,Eukrasian Dosis III (dot),13613.0,266,610768,157908,214684,49391,107342,0
37628,38298,Dosis III,49391.0,266,660159,157908,214684,49391,107342,0
38847,39379,Auto,21.0,287,660159,157908,214684,49391,107342,0
25406,40500,Eukrasian Dosis III (dot),13613.0,287,660159,171521,214684,49391,107342,0
40069,40739,Dosis III,49391.0,287,709550,171521,214684,49391,107342,0
42509,43179,Dosis III,49391.0,287,758941,171521,214684,49391,107342,0
25406,43500,Eukrasian Dosis III (dot),13613.0,287,758941,185134,214684,49391,107342,0
43009,43541,Auto,21.0,308,758941,185134,214684,49391,107342,0
44949,45619,Dosis III,49391.0,308,808332,185134,214684,49391,107342,0
45809,46341,Auto,21.0,329,808332,185134,214684,49391,107342,0
25406,46500,Eukrasian Dosis III (dot),13613.0,329,808332,198747,214684,49391,107342,0
47390,48060,Dosis III,49391.0,329,857723,198747,214684,49391,107342,0
48609,49141,Auto,21.0,350,857723,198747,214684,49391,107342,0
25406,49500,Eukrasian Dosis III (dot),13613.0,350,857723,212360,214684,49391,107342,0
49830,50500,Dosis III,49391.0,350,907114,212360,214684,49391,107342,0
25406,52500,Eukrasian Dosis III (dot),13613.0,350,907114,225973,214684,49391,107342,0
52271,52941,Dosis III,49391.0,350,956505,225973,214684,49391,107342,0
52771,53303,Auto,21.0,371,956505,225973,214684,49391,107342,0
