sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,953,30690.802,290.557,38953.631,442.187,218165,29248334,332016
Drakesbane,60,64090.083,36.758,5121.402,144.15,27600,3845405,108235
Auto,268,10622.56,32.124,3791.498,62.553,24120,2846846,46968
Raiden Thrust,59,40360.898,25.145,3171.463,111.427,18880,2381293,83665
Heavens' Thrust,30,64288.6,18.379,2568.633,103.712,13800,1928658,77872
Wyrmwind Thrust,29,59000.138,16.994,2278.756,114.47,12760,1711004,85950
Stardiver,13,126427.154,14.544,2188.923,163.676,10920,1643553,122896
Mirage Dive,25,56990.36,12.652,1897.528,102.261,9500,1424759,76783
Nastrond,13,108364.154,12.466,1876.186,140.292,9360,1408734,105338
Starcross,13,105357.769,12.12,1824.134,136.4,9100,1369651,102416
Chaotic Spring (dot),239,5677.339,14.324,1807.131,31.488,10755,1356884,23643
High Jump,25,53086.72,13.318,1767.554,95.766,10000,1327168,71906
Chaotic Spring,30,43712.133,13.585,1746.506,82.849,10200,1311364,62207
Wheeling Thrust,30,43472.767,13.585,1736.942,85.734,10200,1304183,64373
Fang and Claw,30,43192.2,13.585,1725.732,85.121,10200,1295766,63913
Lance Barrage,30,42997.8,13.585,1717.965,84.689,10200,1289934,63589
Spiral Blow,30,37660.0,11.986,1504.695,74.175,9000,1129800,55694
Rise of the Dragon,7,86076.286,5.128,802.469,82.465,3850,602534,61919
Dragonfire Dive,7,78252.143,4.661,729.527,74.968,3500,547765,56290
Geirskogul,13,35354.538,4.848,612.118,45.17,3640,459609,33916
Piercing Talon,1,39705.0,0.466,52.88,14.055,350,39705,10553
True Thrust,1,23719.0,0.306,31.59,8.396,230,23719,6304
