sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-1200,90,Reaving Fangs,200.0,20340.0,,Boss1,[],29194025.0,[],
93,93,Serpent's Ire,,,,,,,[],
90,622,Auto,90.0,8038.0,,Boss1,[],4558348.0,[],
1301,2461,Swiftskin's Sting,300.0,30511.0,,Boss1,[],65691910.0,[],
2730,3262,Auto,90.0,8038.0,,Boss1,[],4558348.0,['Swiftscaled'],
3801,4381,Vicewinder,540.0,54925.0,,Boss1,[],212884283.0,['Swiftscaled'],
4970,5502,Auto,90.0,8038.0,,Boss1,[],4558348.0,['Swiftscaled'],
5753,5753,Battle Litany,,,,,,,[],6378.0
6972,6972,Grade 4 Gemdraught,,,,,,,[],
6352,7332,Hunter's Coil,680.0,69164.0,,Boss1,[],337572361.0,['Swiftscaled'],
7210,7742,Auto,90.0,9314.0,,Boss1,[],6396104.0,"['Battle Litany', ""Hunter's Instinct"", 'Swiftscaled']",
7592,8212,Twinfang Bite,170.0,20035.0,,Boss1,[],29596869.0,"['Battle Litany', ""Hunter's Instinct"", 'Swiftscaled']",
8212,8882,Twinblood Bite,170.0,21690.0,,Boss1,[],34686903.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
8902,9522,Swiftskin's Coil,620.0,79123.0,,Boss1,[],461560825.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
9450,9982,Auto,90.0,10087.0,,Boss1,[],7502542.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
9522,10192,Twinblood Bite,170.0,21690.0,,Boss1,[],34686903.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
10142,10762,Twinfang Bite,170.0,21690.0,,Boss1,[],34686903.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
11453,12073,Reawaken,750.0,95711.0,,Boss1,[],675384713.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
11690,12222,Auto,90.0,10087.0,,Boss1,[],7502542.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
13930,14462,Auto,90.0,10087.0,,Boss1,[],7502542.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
13324,15024,First Generation,680.0,86780.0,,Boss1,[],555226081.0,"['Battle Litany', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']",
