sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,33367.791,310.03,40325.844,385.015,232678,30264586,288954
Blazing Shot,105,34622.181,36.376,4843.87,125.683,27300,3635329,94325
Drill,39,89791.282,34.297,4666.03,177.884,25740,3501860,133502
Heated Clean Shot,48,52056.917,26.862,3329.419,127.446,20160,2498732,95648
Shot,284,7468.366,30.273,2826.133,44.541,22720,2121016,33428
Heated Slug Shot,49,39806.061,20.893,2598.927,98.48,15680,1950497,73909
Double Check,80,23710.738,19.187,2527.457,75.106,14400,1896859,56367
Checkmate,79,23755.975,18.947,2500.626,74.787,14220,1876722,56128
Excavator,13,134485.692,11.432,2329.529,56.358,8580,1748314,42297
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,218901.571,8.394,2041.717,22.294,6300,1532311,16732
Heated Split Shot,50,27312.1,14.657,1819.591,68.264,11000,1365605,51232
Crowned Collider (pet),19,65900.368,13.823,1668.362,107.162,10374,1252107,80425
Arm Punch (pet),57,20272.158,12.759,1539.656,57.098,9576,1155513,42852
Chain Saw,13,88432.462,11.432,1531.806,101.988,8580,1149622,76542
Wildfire (dot),7,159477.286,13.431,1487.461,16.241,10080,1116341,12189
Pile Bunker (pet),19,57449.579,12.051,1454.418,93.422,9044,1091542,70113
Roller Dash (pet),19,38801.947,8.506,982.326,62.245,6384,737237,46715
