sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,22.0,43,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12932.0,43,53462,12932,0,49391,0,0
5841,6511,Dosis III,56135.0,43,109597,12932,0,49391,0,0
6701,7233,Auto,23.0,66,109597,12932,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12932.0,66,109597,25864,0,49391,0,0
7322,7992,Phlegma III,107067.0,66,109597,25864,107067,49391,0,0
7942,9042,Psyche,107067.0,66,109597,25864,107067,49391,107067,0
9501,10033,Auto,23.0,89,109597,25864,107067,49391,107067,0
9762,10432,Phlegma III,107067.0,89,109597,25864,214134,49391,107067,0
940,10500,Eukrasian Dosis III (dot),12932.0,89,109597,38796,214134,49391,107067,0
940,13500,Eukrasian Dosis III (dot),12932.0,89,109597,51728,214134,49391,107067,0
13163,13833,Dosis III,58941.0,89,168538,51728,214134,49391,107067,0
13663,14195,Auto,23.0,112,168538,51728,214134,49391,107067,0
15603,16273,Dosis III,58941.0,112,227479,51728,214134,49391,107067,0
940,16500,Eukrasian Dosis III (dot),12932.0,112,227479,64660,214134,49391,107067,0
16463,16995,Auto,23.0,135,227479,64660,214134,49391,107067,0
18044,18714,Dosis III,58941.0,135,286420,64660,214134,49391,107067,0
940,19500,Eukrasian Dosis III (dot),12932.0,135,286420,77592,214134,49391,107067,0
19263,19795,Auto,23.0,158,286420,77592,214134,49391,107067,0
20484,21154,Dosis III,58941.0,158,345361,77592,214134,49391,107067,0
940,22500,Eukrasian Dosis III (dot),12932.0,158,345361,90524,214134,49391,107067,0
22924,23594,Dosis III,58941.0,158,404302,90524,214134,49391,107067,0
23424,23956,Auto,23.0,181,404302,90524,214134,49391,107067,0
940,25500,Eukrasian Dosis III (dot),12932.0,181,404302,103456,214134,49391,107067,0
26224,26756,Auto,21.0,202,404302,103456,214134,49391,107067,0
25406,28500,Eukrasian Dosis III (dot),13578.0,202,404302,117034,214134,49391,107067,0
27866,28536,Dosis III,53462.0,202,457764,117034,214134,49391,107067,0
29024,29556,Auto,21.0,223,457764,117034,214134,49391,107067,0
30307,30977,Dosis III,53462.0,223,511226,117034,214134,49391,107067,0
25406,31500,Eukrasian Dosis III (dot),13578.0,223,511226,130612,214134,49391,107067,0
32747,33417,Dosis III,49391.0,223,560617,130612,214134,49391,107067,0
33247,33779,Auto,21.0,244,560617,130612,214134,49391,107067,0
25406,34500,Eukrasian Dosis III (dot),13578.0,244,560617,144190,214134,49391,107067,0
35188,35858,Dosis III,49391.0,244,610008,144190,214134,49391,107067,0
36047,36579,Auto,21.0,265,610008,144190,214134,49391,107067,0
25406,37500,Eukrasian Dosis III (dot),13578.0,265,610008,157768,214134,49391,107067,0
37628,38298,Dosis III,49391.0,265,659399,157768,214134,49391,107067,0
38847,39379,Auto,21.0,286,659399,157768,214134,49391,107067,0
25406,40500,Eukrasian Dosis III (dot),13578.0,286,659399,171346,214134,49391,107067,0
40069,40739,Dosis III,49391.0,286,708790,171346,214134,49391,107067,0
42509,43179,Dosis III,49391.0,286,758181,171346,214134,49391,107067,0
25406,43500,Eukrasian Dosis III (dot),13578.0,286,758181,184924,214134,49391,107067,0
43009,43541,Auto,21.0,307,758181,184924,214134,49391,107067,0
44949,45619,Dosis III,49391.0,307,807572,184924,214134,49391,107067,0
45809,46341,Auto,21.0,328,807572,184924,214134,49391,107067,0
25406,46500,Eukrasian Dosis III (dot),13578.0,328,807572,198502,214134,49391,107067,0
47390,48060,Dosis III,49391.0,328,856963,198502,214134,49391,107067,0
48609,49141,Auto,21.0,349,856963,198502,214134,49391,107067,0
25406,49500,Eukrasian Dosis III (dot),13578.0,349,856963,212080,214134,49391,107067,0
49830,50500,Dosis III,49391.0,349,906354,212080,214134,49391,107067,0
25406,52500,Eukrasian Dosis III (dot),13578.0,349,906354,225658,214134,49391,107067,0
52271,52941,Dosis III,49391.0,349,955745,225658,214134,49391,107067,0
52771,53303,Auto,21.0,370,955745,225658,214134,49391,107067,0
