sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,42452.0,16256,0,19401,0,27490,12126,0,0,0,42452,0,0
6757,7289,Auto,9857.0,26113,0,19401,0,27490,12126,0,0,0,42452,0,0
7670,8607,Inner Chaos,128096.0,26113,0,19401,128096,27490,12126,0,0,0,42452,0,0
8295,8918,Upheaval,44559.0,26113,0,19401,128096,27490,12126,0,0,0,42452,0,44559
8920,9587,Onslaught,15909.0,26113,0,19401,128096,27490,28035,0,0,0,42452,0,44559
10117,10649,Auto,10667.0,36780,0,19401,128096,27490,28035,0,0,0,42452,0,44559
10170,10793,Fell Cleave,106136.0,36780,106136,19401,128096,27490,28035,0,0,0,42452,0,44559
10795,11462,Onslaught,15909.0,36780,106136,19401,128096,27490,43944,0,0,0,42452,0,44559
12670,13293,Fell Cleave,106136.0,36780,212272,19401,128096,27490,43944,0,0,0,42452,0,44559
13477,14009,Auto,10667.0,47447,212272,19401,128096,27490,43944,0,0,0,42452,0,44559
15170,15793,Fell Cleave,106136.0,47447,318408,19401,128096,27490,43944,0,0,0,42452,0,44559
15795,16945,Primal Wrath,74274.0,47447,318408,19401,128096,27490,43944,0,0,74274,42452,0,44559
16837,17369,Auto,10667.0,58114,318408,19401,128096,27490,43944,0,0,74274,42452,0,44559
17670,18830,Primal Rend,131755.0,58114,318408,19401,128096,27490,43944,131755,0,74274,42452,0,44559
20197,20729,Auto,10667.0,68781,318408,19401,128096,27490,43944,131755,0,74274,42452,0,44559
20170,21230,Primal Ruination,146398.0,68781,318408,19401,128096,27490,43944,131755,146398,74274,42452,0,44559
22670,23607,Inner Chaos,128096.0,68781,318408,19401,256192,27490,43944,131755,146398,74274,42452,0,44559
