sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49122.0,0,0,0,10969,22488,49122,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49122,0
5650,6940,Glare III,51577.0,0,0,0,10969,22488,100699,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,100699,0
8280,8812,Auto,0.0,0,0,0,10969,33732,100699,0
8389,9059,Assize,61895.0,0,61895,0,10969,33732,100699,0
7780,9070,Glare III,54156.0,0,61895,0,10969,33732,154855,0
9060,9640,Afflatus Misery,216638.0,216638,61895,0,10969,33732,154855,0
-170,10500,Dia (dot),11244.0,216638,61895,0,10969,44976,154855,0
11030,11562,Auto,0.0,216638,61895,0,10969,44976,154855,0
11000,11850,Glare IV,99018.0,216638,61895,0,10969,44976,154855,99018
-170,13500,Dia (dot),11244.0,216638,61895,0,10969,56220,154855,99018
12940,13790,Glare IV,99018.0,216638,61895,0,10969,56220,154855,198036
13780,14312,Auto,0.0,216638,61895,0,10969,56220,154855,198036
14881,15731,Glare IV,99018.0,216638,61895,0,10969,56220,154855,297054
-170,16500,Dia (dot),11244.0,216638,61895,0,10969,67464,154855,297054
16530,17062,Auto,0.0,216638,61895,0,10969,67464,154855,297054
17481,18771,Glare III,54156.0,216638,61895,0,10969,67464,209011,297054
-170,19500,Dia (dot),11244.0,216638,61895,0,10969,78708,209011,297054
19921,20453,Auto,0.0,216638,61895,0,10969,78708,209011,297054
19421,20711,Glare III,54156.0,216638,61895,0,10969,78708,263167,297054
-170,22500,Dia (dot),11244.0,216638,61895,0,10969,89952,263167,297054
21361,22651,Glare III,54156.0,216638,61895,0,10969,89952,317323,297054
24101,24633,Auto,0.0,216638,61895,0,10969,89952,317323,297054
23601,24891,Glare III,54156.0,216638,61895,0,10969,89952,371479,297054
-170,25500,Dia (dot),11244.0,216638,61895,0,10969,101196,371479,297054
25071,26361,Dia,12467.0,216638,61895,0,23436,101196,371479,297054
25071,28500,Dia (dot),12780.0,216638,61895,0,23436,113976,371479,297054
28961,29493,Auto,0.0,216638,61895,0,23436,113976,371479,297054
28461,29751,Glare III,49122.0,216638,61895,0,23436,113976,420601,297054
25071,31500,Dia (dot),12780.0,216638,61895,0,23436,126756,420601,297054
32401,32933,Auto,0.0,216638,61895,0,23436,126756,420601,297054
25071,34500,Dia (dot),12780.0,216638,61895,0,23436,139536,420601,297054
35841,36373,Auto,0.0,216638,61895,0,23436,139536,420601,297054
25071,37500,Dia (dot),12780.0,216638,61895,0,23436,152316,420601,297054
37221,37801,Afflatus Misery,181530.0,398168,61895,0,23436,152316,420601,297054
39281,39813,Auto,0.0,398168,61895,0,23436,152316,420601,297054
25071,40500,Dia (dot),12780.0,398168,61895,0,23436,165096,420601,297054
40611,41901,Glare III,45381.0,398168,61895,0,23436,165096,465982,297054
25071,43500,Dia (dot),12780.0,398168,61895,0,23436,177876,465982,297054
43541,44073,Auto,0.0,398168,61895,0,23436,177876,465982,297054
43041,44331,Glare III,45381.0,398168,61895,0,23436,177876,511363,297054
