sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,869,24235.887,307.042,27810.992,369.681,232520,21060986,279956
Auto,338,5948.766,40.17,2655.103,37.622,30420,2010683,28491
Sepulchre,34,46964.412,24.244,2108.558,94.132,18360,1596790,71285
Holy Spirit,35,44316.343,22.977,2048.188,90.216,17400,1551072,68320
Supplication,34,43100.0,22.448,1935.058,86.387,17000,1465400,65420
Blade of Honor,13,106159.538,17.166,1822.385,130.581,13000,1380074,98888
Blade of Valor,13,106159.538,17.166,1822.385,130.581,13000,1380074,98888
Confiteor,13,106159.538,17.166,1822.385,130.581,13000,1380074,98888
Royal Authority,34,39042.529,20.653,1752.89,78.056,15640,1327446,59111
Atonement,34,38386.441,20.653,1723.434,76.625,15640,1305139,58027
Blade of Truth,13,93419.231,15.106,1603.679,114.908,11440,1214450,87019
Expiacion,25,42073.96,14.856,1388.965,72.425,11250,1051849,54847
Blade of Faith,13,80682.308,13.047,1385.031,99.242,9880,1048870,75155
Goring Blade,13,74310.231,12.017,1275.645,91.405,9100,966033,69220
Riot Blade,34,26454.235,14.816,1187.714,52.527,11220,899444,39778
Imperator,13,61092.692,9.957,1048.746,75.126,7540,794205,56892
Fast Blade,34,17590.5,9.877,789.76,34.923,7480,598077,26447
Intervene,26,15920.154,5.15,546.586,27.692,3900,413924,20971
Circle of Scorn (dot),125,2802.56,4.952,462.597,10.785,3750,350320,8167
Circle of Scorn,25,13082.48,4.622,431.885,22.518,3500,327062,17053
