sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,668,47807.909,360.215,42559.064,539.635,270300,31935683,404934
Cross Reaping,36,77980.444,30.704,3741.141,165.795,23040,2807296,124410
Void Reaping,36,73727.917,29.265,3537.124,157.093,21960,2654205,117880
Auto,234,11103.795,28.066,3462.607,60.157,21060,2598288,45141
Infernal Slice,38,68278.553,30.384,3457.672,148.924,22800,2594585,111750
Communio,19,135227.789,27.852,3424.013,208.87,20900,2569328,156733
Waxing Slice,38,56579.0,25.32,2865.199,123.383,19000,2150002,92585
Slice,38,47626.895,21.269,2411.858,103.868,15960,1809822,77941
Sacrificium,19,86195.684,17.724,2182.504,133.148,13300,1637718,99912
Soul Slice,25,59630.0,17.324,1986.647,105.552,13000,1490750,79205
Gallows,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Gibbet,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Lemure's Slice,36,34234.278,13.433,1642.402,72.785,10080,1232434,54617
Perfectio,7,164713.429,12.127,1536.537,154.282,9100,1152994,115771
Executioner's Gallows,12,94744.083,13.113,1515.128,116.244,9840,1136929,87228
Executioner's Gibbet,12,93682.5,13.033,1498.151,114.834,9780,1124190,86170
Unveiled Gibbet,18,50259.611,10.555,1205.612,75.488,7920,904673,56645
Unveiled Gallows,18,50015.611,10.555,1199.759,75.079,7920,900281,56338
Plentiful Harvest,7,126700.714,9.329,1181.933,118.676,7000,886905,89053
Shadow of Death,25,33933.36,9.995,1130.532,60.037,7500,848334,45051
Gluttony,12,64236.333,8.955,1027.254,78.753,6720,770836,59095
Harvest Moon,1,97982.0,1.066,130.576,34.661,800,97982,26009
Harpe,1,30859.0,0.4,41.124,10.916,300,30859,8191
