sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,21.0,42,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12932.0,42,53462,12932,0,49391,0,0
5841,6511,Dosis III,53462.0,42,106924,12932,0,49391,0,0
6701,7233,Auto,22.0,64,106924,12932,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12932.0,64,106924,25864,0,49391,0,0
7322,7992,Phlegma III,101968.0,64,106924,25864,101968,49391,0,0
7942,9042,Psyche,101968.0,64,106924,25864,101968,49391,101968,0
9501,10033,Auto,22.0,86,106924,25864,101968,49391,101968,0
9762,10432,Phlegma III,101968.0,86,106924,25864,203936,49391,101968,0
940,10500,Eukrasian Dosis III (dot),12932.0,86,106924,38796,203936,49391,101968,0
940,13500,Eukrasian Dosis III (dot),12932.0,86,106924,51728,203936,49391,101968,0
13163,13833,Dosis III,56135.0,86,163059,51728,203936,49391,101968,0
13663,14195,Auto,22.0,108,163059,51728,203936,49391,101968,0
15603,16273,Dosis III,56135.0,108,219194,51728,203936,49391,101968,0
940,16500,Eukrasian Dosis III (dot),12932.0,108,219194,64660,203936,49391,101968,0
16463,16995,Auto,22.0,130,219194,64660,203936,49391,101968,0
18044,18714,Dosis III,56135.0,130,275329,64660,203936,49391,101968,0
940,19500,Eukrasian Dosis III (dot),12932.0,130,275329,77592,203936,49391,101968,0
19263,19795,Auto,22.0,152,275329,77592,203936,49391,101968,0
20484,21154,Dosis III,56135.0,152,331464,77592,203936,49391,101968,0
940,22500,Eukrasian Dosis III (dot),12932.0,152,331464,90524,203936,49391,101968,0
22924,23594,Dosis III,56135.0,152,387599,90524,203936,49391,101968,0
23424,23956,Auto,22.0,174,387599,90524,203936,49391,101968,0
940,25500,Eukrasian Dosis III (dot),12932.0,174,387599,103456,203936,49391,101968,0
26224,26756,Auto,21.0,195,387599,103456,203936,49391,101968,0
25406,28500,Eukrasian Dosis III (dot),13578.0,195,387599,117034,203936,49391,101968,0
27866,28536,Dosis III,53462.0,195,441061,117034,203936,49391,101968,0
29024,29556,Auto,21.0,216,441061,117034,203936,49391,101968,0
30307,30977,Dosis III,53462.0,216,494523,117034,203936,49391,101968,0
25406,31500,Eukrasian Dosis III (dot),13578.0,216,494523,130612,203936,49391,101968,0
32747,33417,Dosis III,49391.0,216,543914,130612,203936,49391,101968,0
33247,33779,Auto,21.0,237,543914,130612,203936,49391,101968,0
25406,34500,Eukrasian Dosis III (dot),13578.0,237,543914,144190,203936,49391,101968,0
35188,35858,Dosis III,49391.0,237,593305,144190,203936,49391,101968,0
36047,36579,Auto,21.0,258,593305,144190,203936,49391,101968,0
25406,37500,Eukrasian Dosis III (dot),13578.0,258,593305,157768,203936,49391,101968,0
37628,38298,Dosis III,49391.0,258,642696,157768,203936,49391,101968,0
38847,39379,Auto,21.0,279,642696,157768,203936,49391,101968,0
25406,40500,Eukrasian Dosis III (dot),13578.0,279,642696,171346,203936,49391,101968,0
40069,40739,Dosis III,49391.0,279,692087,171346,203936,49391,101968,0
42509,43179,Dosis III,49391.0,279,741478,171346,203936,49391,101968,0
25406,43500,Eukrasian Dosis III (dot),13578.0,279,741478,184924,203936,49391,101968,0
43009,43541,Auto,21.0,300,741478,184924,203936,49391,101968,0
44949,45619,Dosis III,49391.0,300,790869,184924,203936,49391,101968,0
45809,46341,Auto,21.0,321,790869,184924,203936,49391,101968,0
25406,46500,Eukrasian Dosis III (dot),13578.0,321,790869,198502,203936,49391,101968,0
47390,48060,Dosis III,49391.0,321,840260,198502,203936,49391,101968,0
48609,49141,Auto,21.0,342,840260,198502,203936,49391,101968,0
25406,49500,Eukrasian Dosis III (dot),13578.0,342,840260,212080,203936,49391,101968,0
49830,50500,Dosis III,49391.0,342,889651,212080,203936,49391,101968,0
25406,52500,Eukrasian Dosis III (dot),13578.0,342,889651,225658,203936,49391,101968,0
52271,52941,Dosis III,49391.0,342,939042,225658,203936,49391,101968,0
52771,53303,Auto,21.0,363,939042,225658,203936,49391,101968,0
