sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,937,34906.54,385.109,43644.878,496.537,288600,32707428,372104
Auto,335,9007.104,40.232,4026.4,58.486,30150,3017380,43829
Ouroboros,20,135643.95,30.691,3620.073,215.299,23000,2712879,161345
Uncoiled Fury,27,78603.259,24.5,2831.987,144.96,18360,2122288,108633
Reawaken,20,87167.65,20.016,2326.335,138.344,15000,1743353,103675
Fourth Generation,20,79998.4,18.148,2135.002,126.959,13600,1599968,95143
Second Generation,20,79998.4,18.148,2135.002,126.959,13600,1599968,95143
Third Generation,20,79998.4,18.148,2135.002,126.959,13600,1599968,95143
First Generation,20,79221.85,18.148,2114.277,125.729,13600,1584437,94221
Death Rattle,47,31378.149,17.561,1967.941,76.26,13160,1474773,57149
Hunter's Coil,19,75865.158,17.24,1923.459,117.275,12920,1441438,87886
Swiftskin's Coil,19,69865.632,15.719,1771.349,108.001,11780,1327447,80936
Vicewinder,20,60543.15,14.412,1615.779,96.02,10800,1210863,71957
Swiftskin's Sting,24,33434.875,9.608,1070.774,58.072,7200,802437,43519
Reaving Fangs,24,33011.083,9.474,1057.202,57.509,7100,792266,43097
Hunter's Sting,23,33682.609,9.207,1033.762,57.269,6900,774700,42917
Steel Fangs,23,33682.609,9.207,1033.762,57.269,6900,774700,42917
Fourth Legacy,20,37741.15,8.54,1007.238,59.904,6400,754823,44892
Second Legacy,20,37644.25,8.54,1004.652,59.741,6400,752885,44770
Third Legacy,20,37644.25,8.54,1004.652,59.741,6400,752885,44770
First Legacy,20,37368.25,8.54,997.286,59.302,6400,747365,44441
Twinblood Bite,38,19196.158,8.62,973.385,41.968,6460,729454,31451
Twinfang Bite,38,19152.737,8.62,971.184,41.866,6460,727804,31374
Flanksting Strike,12,56326.417,8.006,901.945,69.185,6000,675917,51847
Hindsting Strike,12,55941.0,8.006,895.774,68.694,6000,671292,51479
Hindsbane Fang,12,55316.917,7.873,885.78,67.974,5900,663803,50940
Flanksbane Fang,11,55941.0,7.339,821.126,65.769,5500,615351,49287
Uncoiled Twinfang,27,19609.852,6.125,706.521,36.16,4590,529466,27098
Uncoiled Twinblood,26,19519.923,5.898,677.233,35.316,4420,507518,26466
