sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
-900,80,Suiton,59027.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59027,0,0
80,612,Auto,7779.0,0,0,0,0,7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59027,0,0
601,1001,Spinning Edge,30530.0,0,0,0,0,7779,0,0,0,0,0,0,0,0,0,0,0,0,30530,0,59027,0,0
2250,2782,Auto,8419.0,0,0,0,0,16198,0,0,0,0,0,0,0,0,0,0,0,0,30530,0,59027,0,0
2721,3121,Gust Slash,44058.0,0,0,0,0,16198,0,0,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
3491,4561,Dokumori,44058.0,0,0,0,0,16198,0,44058,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
4420,4952,Auto,8839.0,0,0,0,0,25037,0,44058,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
4841,6401,Phantom Kamaitachi (pet),75279.0,0,0,0,0,25037,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
7049,7049,Armor Crush (pet),17718.0,0,0,0,17718,25037,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
6590,7122,Auto,9104.0,0,0,0,17718,34141,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
6961,7581,Armor Crush,59563.0,0,0,59563,17718,34141,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
8760,9292,Auto,10015.0,0,0,59563,17718,44156,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
8381,9671,Kunai's Bane,83390.0,0,0,59563,17718,44156,0,44058,0,0,0,0,44058,0,0,83390,75279,0,30530,0,59027,0,0
10082,10702,Hyosho Ranryu,221463.0,0,0,59563,17718,44156,0,44058,0,0,0,0,44058,0,221463,83390,75279,0,30530,0,59027,0,0
10702,11402,Dream Within a Dream,23583.0,0,0,59563,17718,44156,0,44058,23583,0,0,0,44058,0,221463,83390,75279,0,30530,0,59027,0,0
10930,11462,Auto,10015.0,0,0,59563,17718,54171,0,44058,23583,0,0,0,44058,0,221463,83390,75279,0,30530,0,59027,0,0
10702,11552,Dream Within a Dream,23583.0,0,0,59563,17718,54171,0,44058,47166,0,0,0,44058,0,221463,83390,75279,0,30530,0,59027,0,0
10702,11702,Dream Within a Dream,23583.0,0,0,59563,17718,54171,0,44058,70749,0,0,0,44058,0,221463,83390,75279,0,30530,0,59027,0,0
12583,13293,Raiton,96968.0,0,0,59563,17718,54171,0,44058,70749,0,0,0,44058,0,221463,83390,75279,96968,30530,0,59027,0,0
13100,13632,Auto,10015.0,0,0,59563,17718,64186,0,44058,70749,0,0,0,44058,0,221463,83390,75279,96968,30530,0,59027,0,0
14084,14974,Fuma Shuriken,65519.0,0,0,59563,17718,64186,0,44058,70749,0,0,65519,44058,0,221463,83390,75279,96968,30530,0,59027,0,0
15085,15795,Raiton,96968.0,0,0,59563,17718,64186,0,44058,70749,0,0,65519,44058,0,221463,83390,75279,193936,30530,0,59027,0,0
16085,16617,Auto,10015.0,0,0,59563,17718,74201,0,44058,70749,0,0,65519,44058,0,221463,83390,75279,193936,30530,0,59027,0,0
16085,17065,Suiton,75999.0,0,0,59563,17718,74201,0,44058,70749,0,0,65519,44058,0,221463,83390,75279,193936,30530,0,135026,0,0
17586,18346,Fleeting Raiju,91729.0,0,0,59563,17718,74201,0,44058,70749,91729,0,65519,44058,0,221463,83390,75279,193936,30530,0,135026,0,0
18434,18434,Fleeting Raiju (pet),19490.0,0,0,59563,17718,74201,0,44058,70749,91729,19490,65519,44058,0,221463,83390,75279,193936,30530,0,135026,0,0
18255,18787,Auto,10015.0,0,0,59563,17718,84216,0,44058,70749,91729,19490,65519,44058,0,221463,83390,75279,193936,30530,0,135026,0,0
18826,19181,Tenri Jindo,144149.0,0,0,59563,17718,84216,0,44058,70749,91729,19490,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,0
18206,19236,Zesho Meppo,111385.0,0,0,59563,17718,84216,0,44058,70749,91729,19490,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
19707,20467,Fleeting Raiju,91729.0,0,0,59563,17718,84216,0,44058,70749,183458,19490,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
20555,20555,Fleeting Raiju (pet),19490.0,0,0,59563,17718,84216,0,44058,70749,183458,38980,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
20327,20947,Bhavacakra,52413.0,0,0,59563,17718,84216,52413,44058,70749,183458,38980,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
20425,20957,Auto,10015.0,0,0,59563,17718,94231,52413,44058,70749,183458,38980,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
22595,23127,Auto,10015.0,0,0,59563,17718,104246,52413,44058,70749,183458,38980,65519,44058,0,221463,83390,75279,193936,30530,0,135026,144149,111385
22828,23538,Raiton,96968.0,0,0,59563,17718,104246,52413,44058,70749,183458,38980,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
24328,25088,Fleeting Raiju,91729.0,0,0,59563,17718,104246,52413,44058,70749,275187,38980,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
25176,25176,Fleeting Raiju (pet),16875.0,0,0,59563,17718,104246,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
24765,25297,Auto,8671.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
26536,26536,Spinning Edge (pet),16383.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,16383,135026,144149,111385
26448,26848,Spinning Edge,33044.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
