sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,27643.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
4738,5270,Auto,5595.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
6000,6578,Royal Authority,42955.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,42955,0,0
6978,7510,Auto,6237.0,0,22488,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,42955,0,0
7250,8540,Imperator,67704.0,0,22488,0,0,0,0,0,0,0,0,17548,0,31913,67704,0,27643,42955,0,0
8500,9034,Goring Blade,81711.0,0,22488,0,0,0,0,0,0,0,0,17548,81711,31913,67704,0,27643,42955,0,0
9218,9750,Auto,7796.0,0,30284,0,0,0,0,0,0,0,0,17548,81711,31913,67704,0,27643,42955,0,0
9125,10148,Circle of Scorn,16332.0,0,30284,0,0,0,0,16332,0,0,0,17548,81711,31913,67704,0,27643,42955,0,0
9125,10500,Circle of Scorn (dot),3496.0,0,30284,0,0,0,0,16332,3496,0,0,17548,81711,31913,67704,0,27643,42955,0,0
11000,11758,Holy Spirit,58364.0,0,30284,0,0,0,0,16332,3496,0,0,17548,81711,90277,67704,0,27643,42955,0,0
11625,11982,Expiacion,52523.0,0,30284,0,0,0,0,16332,3496,0,52523,17548,81711,90277,67704,0,27643,42955,0,0
11458,11990,Auto,7796.0,0,38080,0,0,0,0,16332,3496,0,52523,17548,81711,90277,67704,0,27643,42955,0,0
9125,13500,Circle of Scorn (dot),3496.0,0,38080,0,0,0,0,16332,6992,0,52523,17548,81711,90277,67704,0,27643,42955,0,0
13500,14123,Confiteor,116734.0,0,38080,0,0,0,0,16332,6992,116734,52523,17548,81711,90277,67704,0,27643,42955,0,0
13698,14230,Auto,7796.0,0,45876,0,0,0,0,16332,6992,116734,52523,17548,81711,90277,67704,0,27643,42955,0,0
14125,14703,Intervene,17504.0,0,45876,0,0,0,0,16332,6992,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
15938,16470,Auto,7796.0,0,53672,0,0,0,0,16332,6992,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
9125,16500,Circle of Scorn (dot),3496.0,0,53672,0,0,0,0,16332,10488,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
16000,16666,Blade of Faith,88716.0,0,53672,88716,0,0,0,16332,10488,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
18178,18710,Auto,7796.0,0,61468,88716,0,0,0,16332,10488,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
18500,19391,Blade of Truth,102724.0,0,61468,88716,0,102724,0,16332,10488,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
9125,19500,Circle of Scorn (dot),3496.0,0,61468,88716,0,102724,0,16332,13984,116734,52523,17548,81711,90277,67704,17504,27643,42955,0,0
19125,19703,Intervene,17504.0,0,61468,88716,0,102724,0,16332,13984,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
20418,20950,Auto,7796.0,0,69264,88716,0,102724,0,16332,13984,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
21000,21891,Blade of Valor,116734.0,0,69264,88716,0,102724,116734,16332,13984,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
9125,22500,Circle of Scorn (dot),3496.0,0,69264,88716,0,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
21625,22785,Blade of Honor,116734.0,0,69264,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
22658,23190,Auto,7796.0,0,77060,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
23500,24793,Atonement,53694.0,53694,77060,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
24898,25430,Auto,7425.0,53694,84485,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,0
26000,27160,Supplication,53965.0,53694,84485,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,53965
27138,27670,Auto,7208.0,53694,91693,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,0,53965
28500,29790,Sepulchre,46625.0,53694,91693,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,46625,53965
29378,29910,Auto,5767.0,53694,97460,88716,116734,102724,116734,16332,17480,116734,52523,17548,81711,90277,67704,35008,27643,42955,46625,53965
