sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,42452.0,16256,0,19401,0,27490,12126,0,0,0,42452,0,0
6757,7289,Auto,9669.0,25925,0,19401,0,27490,12126,0,0,0,42452,0,0
7670,8607,Inner Chaos,125656.0,25925,0,19401,125656,27490,12126,0,0,0,42452,0,0
8295,8918,Upheaval,43710.0,25925,0,19401,125656,27490,12126,0,0,0,42452,0,43710
8920,9587,Onslaught,15606.0,25925,0,19401,125656,27490,27732,0,0,0,42452,0,43710
10117,10649,Auto,10464.0,36389,0,19401,125656,27490,27732,0,0,0,42452,0,43710
10170,10793,Fell Cleave,104114.0,36389,104114,19401,125656,27490,27732,0,0,0,42452,0,43710
10795,11462,Onslaught,15606.0,36389,104114,19401,125656,27490,43338,0,0,0,42452,0,43710
12670,13293,Fell Cleave,104114.0,36389,208228,19401,125656,27490,43338,0,0,0,42452,0,43710
13477,14009,Auto,10464.0,46853,208228,19401,125656,27490,43338,0,0,0,42452,0,43710
15170,15793,Fell Cleave,104114.0,46853,312342,19401,125656,27490,43338,0,0,0,42452,0,43710
15795,16945,Primal Wrath,72859.0,46853,312342,19401,125656,27490,43338,0,0,72859,42452,0,43710
16837,17369,Auto,10464.0,57317,312342,19401,125656,27490,43338,0,0,72859,42452,0,43710
17670,18830,Primal Rend,129246.0,57317,312342,19401,125656,27490,43338,129246,0,72859,42452,0,43710
20197,20729,Auto,10464.0,67781,312342,19401,125656,27490,43338,129246,0,72859,42452,0,43710
20170,21230,Primal Ruination,143610.0,67781,312342,19401,125656,27490,43338,129246,143610,72859,42452,0,43710
22670,23607,Inner Chaos,125656.0,67781,312342,19401,251312,27490,43338,129246,143610,72859,42452,0,43710
