sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35646.257,246.221,27932.827,221.828,185700,21066938,167303
Fell Cleave,71,74690.93,54.601,7031.366,103.437,41180,5303056,78012
Inner Chaos,22,113882.455,20.419,3321.949,20.471,15400,2505414,15439
Auto,225,9110.249,26.85,2717.855,46.754,20250,2049806,35262
Maim,61,30392.016,27.499,2458.119,81.175,20740,1853913,61222
Storm's Path,40,44711.75,26.518,2371.347,96.687,20000,1788470,72921
Primal Ruination,13,128476.077,13.789,2214.517,17.753,10400,1670189,13389
Primal Rend,13,115619.308,12.411,1992.908,15.977,9360,1503051,12050
Heavy Swing,61,21412.656,19.411,1731.864,57.188,14640,1306172,43131
Storm's Eye,21,44657.095,13.922,1243.435,69.976,10500,937799,52776
Upheaval,24,38301.583,13.365,1218.825,64.207,10080,919238,48425
Primal Wrath,13,65177.154,12.066,1123.446,80.44,9100,847303,60668
Onslaught,27,14167.667,5.37,507.196,25.203,4050,382527,19008
