sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,607,39729.524,231.841,43304.473,394.887,173990,32498751,296351
Fire IV,156,81763.077,62.361,16996.046,239.304,46800,12755040,179591
Xenoglossy,31,140621.774,36.764,5808.719,183.458,27590,4359275,137680
Flare Star,26,136709.115,17.322,4736.275,163.356,13000,3554437,122594
Paradox,44,80705.068,31.66,4731.726,125.381,23760,3551023,94095
Thunder (dot),243,10239.235,19.428,3315.43,37.394,14580,2488134,28063
Despair,26,94908.462,12.126,3288.095,113.385,9100,2467620,85092
Fire III,20,59146.8,7.728,1576.258,62.252,5800,1182936,46718
Blizzard IV,18,44387.0,7.195,1064.619,44.088,5400,798966,33087
Blizzard III,18,43012.167,6.956,1031.644,42.724,5220,774219,32063
High Thunder,25,22684.04,4.997,755.66,26.575,3750,567101,19944
