sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,40431.0,16256,0,19401,0,27490,12126,0,0,0,40431,0,0
6757,7289,Auto,9209.0,25465,0,19401,0,27490,12126,0,0,0,40431,0,0
7670,8607,Inner Chaos,119672.0,25465,0,19401,119672,27490,12126,0,0,0,40431,0,0
8295,8918,Upheaval,41629.0,25465,0,19401,119672,27490,12126,0,0,0,40431,0,41629
8920,9587,Onslaught,14863.0,25465,0,19401,119672,27490,26989,0,0,0,40431,0,41629
10117,10649,Auto,9966.0,35431,0,19401,119672,27490,26989,0,0,0,40431,0,41629
10170,10793,Fell Cleave,99156.0,35431,99156,19401,119672,27490,26989,0,0,0,40431,0,41629
10795,11462,Onslaught,14863.0,35431,99156,19401,119672,27490,41852,0,0,0,40431,0,41629
12670,13293,Fell Cleave,99156.0,35431,198312,19401,119672,27490,41852,0,0,0,40431,0,41629
13477,14009,Auto,9966.0,45397,198312,19401,119672,27490,41852,0,0,0,40431,0,41629
15170,15793,Fell Cleave,99156.0,45397,297468,19401,119672,27490,41852,0,0,0,40431,0,41629
15795,16945,Primal Wrath,69389.0,45397,297468,19401,119672,27490,41852,0,0,69389,40431,0,41629
16837,17369,Auto,9966.0,55363,297468,19401,119672,27490,41852,0,0,69389,40431,0,41629
17670,18830,Primal Rend,123091.0,55363,297468,19401,119672,27490,41852,123091,0,69389,40431,0,41629
20197,20729,Auto,9966.0,65329,297468,19401,119672,27490,41852,123091,0,69389,40431,0,41629
20170,21230,Primal Ruination,136771.0,65329,297468,19401,119672,27490,41852,123091,136771,69389,40431,0,41629
22670,23607,Inner Chaos,119672.0,65329,297468,19401,239344,27490,41852,123091,136771,69389,40431,0,41629
