sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,869,23856.33,307.042,27375.445,361.791,232520,20731151,273981
Auto,338,5884.062,40.17,2626.224,37.131,30420,1988813,28119
Sepulchre,34,46543.147,24.244,2089.645,93.089,18360,1582467,70495
Holy Spirit,35,43864.0,22.977,2027.281,89.107,17400,1535240,67480
Supplication,34,42785.412,22.448,1920.934,85.595,17000,1454704,64820
Blade of Honor,13,103296.385,17.166,1773.235,126.924,13000,1342853,96118
Blade of Valor,13,103296.385,17.166,1773.235,126.924,13000,1342853,96118
Confiteor,13,103296.385,17.166,1773.235,126.924,13000,1342853,96118
Royal Authority,34,38768.176,20.653,1740.572,77.386,15640,1318118,58604
Atonement,34,38241.735,20.653,1716.937,76.248,15640,1300219,57742
Blade of Truth,13,90899.538,15.106,1560.425,111.689,11440,1181694,84581
Expiacion,25,41403.8,14.856,1366.841,71.097,11250,1035095,53841
Blade of Faith,13,78506.308,13.047,1347.677,96.461,9880,1020582,73049
Goring Blade,13,72305.846,12.017,1241.237,88.844,9100,939976,67281
Riot Blade,34,26454.235,14.816,1187.714,52.527,11220,899444,39778
Imperator,13,59909.231,9.957,1028.43,73.611,7540,778820,55745
Fast Blade,34,17590.5,9.877,789.76,34.923,7480,598077,26447
Intervene,26,15490.462,5.15,531.833,26.916,3900,402752,20383
Circle of Scorn (dot),125,2757.88,4.952,455.222,10.585,3750,344735,8016
Circle of Scorn,25,12874.24,4.622,425.01,22.105,3500,321856,16740
