sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,255,67611.221,276.37,43103.619,675.472,207650,32385775,507514
Blizzard in Cyan,27,130651.37,30.904,4695.017,247.066,23220,3527587,185632
Comet in Black,21,155803.762,26.273,4354.684,261.578,19740,3271879,196536
Stone in Yellow,20,134425.3,23.957,3578.248,217.608,18000,2688506,163499
Hammer Brush,14,169334.0,10.807,3155.235,24.849,8120,2370676,18670
Hammer Stamp,14,163436.714,10.435,3045.349,23.985,7840,2288114,18021
Polishing Hammer,14,160855.857,11.18,2997.26,23.389,8400,2251982,17573
Thunder in Magenta,14,155072.357,17.515,2889.494,212.022,13160,2171013,159302
Water in Blue,28,76968.214,21.242,2868.328,144.494,15960,2155110,108565
Rainbow Drip,9,179580.778,11.978,2151.106,196.427,9000,1616227,147585
Aero in Green,22,71556.455,15.519,2095.226,119.114,11660,1574242,89496
Star Prism,7,219294.286,10.248,2043.077,209.987,7700,1535060,157773
Fire in Red,22,66178.727,14.348,1937.762,110.195,10780,1455932,82795
Retribution of the Madeen,5,209146.2,7.32,1391.808,170.638,5500,1045731,128208
Holy in White,13,78021.077,9.862,1349.941,100.208,7410,1014274,75291
Mog of the Ages,5,173243.2,6.655,1152.884,141.771,5000,866216,106519
Fanged Muse,5,142444.0,5.324,947.924,117.003,4000,712220,87910
Winged Muse,5,138512.8,5.324,921.763,113.281,4000,692564,85113
Clawed Muse,5,119690.0,5.324,796.503,97.074,4000,598450,72936
Pom Muse,5,109998.4,5.324,732.008,87.513,4000,549992,65753
