sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Cascade,Dance of the Dawn,Double Standard Finish,Fan Dance,Fan Dance III,Fan Dance IV,Finishing Move,Fountain,Fountainfall,Last Dance,Quadruple Technical Finish,Reverse Cascade,Saber Dance,Starfall Dance,Tillana
-600,-70,Double Standard Finish,850,1.0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
-70,688,Auto,90,1.0,90,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
3050,3808,Auto,90,1.0,180,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6170,6928,Auto,90,1.0,270,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6400,6935,Quadruple Technical Finish,1300,1.0,270,0,0,850,0,0,0,0,0,0,0,1300,0,0,0,0
8525,9145,Fan Dance III,220,1.0,270,0,0,850,0,220,0,0,0,0,0,1300,0,0,0,0
7900,9150,Last Dance,540,1.0,270,0,0,850,0,220,0,0,0,0,540,1300,0,0,0,0
9150,9470,Fan Dance IV,460,1.0,270,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
9290,10048,Auto,90,1.0,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
10400,11240,Tillana,509,0.849,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,509
10400,11290,Starfall Dance,62,0.1043,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,62,509
10400,12760,Dance of the Dawn,46,0.0467,360,0,46,850,0,220,460,0,0,0,540,1300,0,0,62,509
12410,13168,Auto,90,1.0,450,0,46,850,0,220,460,0,0,0,540,1300,0,0,62,509
12900,13740,Tillana,26,0.0447,450,0,46,850,0,220,460,0,0,0,540,1300,0,0,62,535
12900,13790,Starfall Dance,1,0.002,450,0,46,850,0,220,460,0,0,0,540,1300,0,0,63,535
12900,14110,Fountainfall,11,0.0326,450,0,46,850,0,220,460,0,0,11,540,1300,0,0,63,535
13550,14170,Fan Dance,2,0.0161,450,0,46,850,2,220,460,0,0,11,540,1300,0,0,63,535
14200,14820,Fan Dance III,2,0.0095,450,0,46,850,2,222,460,0,0,11,540,1300,0,0,63,535
12900,15260,Dance of the Dawn,920,0.9207,450,0,966,850,2,222,460,0,0,11,540,1300,0,0,63,535
15530,16288,Auto,90,1.0,540,0,966,850,2,222,460,0,0,11,540,1300,0,0,63,535
15400,17450,Finishing Move,850,1.0,540,0,966,850,2,222,460,850,0,11,540,1300,0,0,63,535
17900,18340,Saber Dance,86,0.161,540,0,966,850,2,222,460,850,0,11,540,1300,0,86,63,535
17900,18740,Tillana,27,0.0455,540,0,966,850,2,222,460,850,0,11,540,1300,0,86,63,562
17900,18790,Starfall Dance,449,0.749,540,0,966,850,2,222,460,850,0,11,540,1300,0,86,512,562
17900,19110,Fountainfall,4,0.0119,540,0,966,850,2,222,460,850,0,15,540,1300,0,86,512,562
18550,19170,Fan Dance,0,0.0044,540,0,966,850,2,222,460,850,0,15,540,1300,0,86,512,562
18650,19408,Auto,90,1.0,630,0,966,850,2,222,460,850,0,15,540,1300,0,86,512,562
19200,19820,Fan Dance III,0,0.0024,630,0,966,850,2,222,460,850,0,15,540,1300,0,86,512,562
17900,20260,Dance of the Dawn,32,0.0326,630,0,998,850,2,222,460,850,0,15,540,1300,0,86,512,562
20400,20840,Saber Dance,363,0.6739,630,0,998,850,2,222,460,850,0,15,540,1300,0,449,512,562
20400,21020,Reverse Cascade,1,0.007,630,0,998,850,2,222,460,850,0,15,540,1300,1,449,512,562
20400,21240,Tillana,16,0.028,630,0,998,850,2,222,460,850,0,15,540,1300,1,449,512,578
20400,21290,Starfall Dance,84,0.1412,630,0,998,850,2,222,460,850,0,15,540,1300,1,449,596,578
20400,21610,Fountainfall,50,0.1499,630,0,998,850,2,222,460,850,0,65,540,1300,1,449,596,578
21050,21670,Fan Dance,13,0.0771,630,0,998,850,15,222,460,850,0,65,540,1300,1,449,596,578
21700,22320,Fan Dance III,8,0.038,630,0,998,850,15,230,460,850,0,65,540,1300,1,449,596,578
21770,22528,Auto,90,1.0,720,0,998,850,15,230,460,850,0,65,540,1300,1,449,596,578
22900,23340,Saber Dance,214,0.3965,720,0,998,850,15,230,460,850,0,65,540,1300,1,663,596,578
22900,23520,Reverse Cascade,7,0.0277,720,0,998,850,15,230,460,850,0,65,540,1300,8,663,596,578
22900,23740,Tillana,12,0.0205,720,0,998,850,15,230,460,850,0,65,540,1300,8,663,596,590
22900,23790,Starfall Dance,2,0.0035,720,0,998,850,15,230,460,850,0,65,540,1300,8,663,598,590
22900,24110,Fountainfall,187,0.5518,720,0,998,850,15,230,460,850,0,252,540,1300,8,663,598,590
23550,24170,Fan Dance,50,0.2833,720,0,998,850,65,230,460,850,0,252,540,1300,8,663,598,590
24200,24820,Fan Dance III,31,0.1414,720,0,998,850,65,261,460,850,0,252,540,1300,8,663,598,590
24890,25648,Auto,90,1.0,810,0,998,850,65,261,460,850,0,252,540,1300,8,663,598,590
25400,25840,Saber Dance,221,0.4095,810,0,998,850,65,261,460,850,0,252,540,1300,8,884,598,590
25400,26020,Reverse Cascade,98,0.3512,810,0,998,850,65,261,460,850,0,252,540,1300,106,884,598,590
25400,26200,Cascade,0,0.0019,810,0,998,850,65,261,460,850,0,252,540,1300,106,884,598,590
25400,26240,Tillana,7,0.0123,810,0,998,850,65,261,460,850,0,252,540,1300,106,884,598,597
25400,26610,Fountainfall,76,0.2251,810,0,998,850,65,261,460,850,0,328,540,1300,106,884,598,597
26025,26645,Fan Dance,51,0.2851,810,0,998,850,116,261,460,850,0,328,540,1300,106,884,598,597
26650,27270,Fan Dance III,31,0.1417,810,0,998,850,116,292,460,850,0,328,540,1300,106,884,598,597
27900,28340,Saber Dance,106,0.1981,810,0,998,850,116,292,460,850,0,328,540,1300,106,990,598,597
27900,28520,Reverse Cascade,164,0.5858,810,0,998,850,116,292,460,850,0,328,540,1300,270,990,598,597
27900,28700,Cascade,41,0.1865,810,41,998,850,116,292,460,850,0,328,540,1300,270,990,598,597
28010,28768,Auto,90,1.0,900,41,998,850,116,292,460,850,0,328,540,1300,270,990,598,597
27900,28880,Fountain,0,0.0009,900,41,998,850,116,292,460,850,0,328,540,1300,270,990,598,597
27900,29110,Fountainfall,9,0.0287,900,41,998,850,116,292,460,850,0,337,540,1300,270,990,598,597
30400,30840,Saber Dance,105,0.1949,900,41,998,850,116,292,460,850,0,337,540,1300,270,1095,598,597
30400,31020,Reverse Cascade,23,0.0851,900,41,998,850,116,292,460,850,0,337,540,1300,293,1095,598,597
30400,31200,Cascade,139,0.6343,900,180,998,850,116,292,460,850,0,337,540,1300,293,1095,598,597
30400,31380,Fountain,23,0.0854,900,180,998,850,116,292,460,850,23,337,540,1300,293,1095,598,597
30400,31610,Fountainfall,0,0.0003,900,180,998,850,116,292,460,850,23,337,540,1300,293,1095,598,597
31130,31888,Auto,90,1.0,990,180,998,850,116,292,460,850,23,337,540,1300,293,1095,598,597
32900,33340,Saber Dance,48,0.0904,990,180,998,850,116,292,460,850,23,337,540,1300,293,1143,598,597
32900,33520,Reverse Cascade,88,0.3161,990,180,998,850,116,292,460,850,23,337,540,1300,381,1143,598,597
32900,33700,Cascade,43,0.1963,990,223,998,850,116,292,460,850,23,337,540,1300,381,1143,598,597
32900,33880,Fountain,98,0.3526,990,223,998,850,116,292,460,850,121,337,540,1300,381,1143,598,597
32900,34110,Fountainfall,15,0.0446,990,223,998,850,116,292,460,850,121,352,540,1300,381,1143,598,597
34250,35008,Auto,90,1.0,1080,223,998,850,116,292,460,850,121,352,540,1300,381,1143,598,597
35400,35840,Saber Dance,101,0.1874,1080,223,998,850,116,292,460,850,121,352,540,1300,381,1244,598,597
35400,36020,Reverse Cascade,29,0.1057,1080,223,998,850,116,292,460,850,121,352,540,1300,410,1244,598,597
35400,36200,Cascade,33,0.1517,1080,256,998,850,116,292,460,850,121,352,540,1300,410,1244,598,597
35400,36380,Fountain,106,0.3794,1080,256,998,850,116,292,460,850,227,352,540,1300,410,1244,598,597
35400,36610,Fountainfall,59,0.1758,1080,256,998,850,116,292,460,850,227,411,540,1300,410,1244,598,597
37370,38128,Auto,90,1.0,1170,256,998,850,116,292,460,850,227,411,540,1300,410,1244,598,597
37900,38340,Saber Dance,89,0.1662,1170,256,998,850,116,292,460,850,227,411,540,1300,410,1333,598,597
37900,38520,Reverse Cascade,20,0.0738,1170,256,998,850,116,292,460,850,227,411,540,1300,430,1333,598,597
37900,38700,Cascade,67,0.3069,1170,323,998,850,116,292,460,850,227,411,540,1300,430,1333,598,597
37900,38880,Fountain,72,0.2599,1170,323,998,850,116,292,460,850,299,411,540,1300,430,1333,598,597
37900,39110,Fountainfall,65,0.1932,1170,323,998,850,116,292,460,850,299,476,540,1300,430,1333,598,597
40400,40840,Saber Dance,71,0.1317,1170,323,998,850,116,292,460,850,299,476,540,1300,430,1404,598,597
40400,41020,Reverse Cascade,44,0.16,1170,323,998,850,116,292,460,850,299,476,540,1300,474,1404,598,597
40400,41200,Cascade,79,0.3621,1170,402,998,850,116,292,460,850,299,476,540,1300,474,1404,598,597
