sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,598.9730000000001,12797.352,812.693,33600.877,846.221,612860,25338757,638144
Saber Dance,43.1534,81791.238,30.9,4680.444,404.792,23302,3529570,305258
Auto,242.0,11158.331,28.882,3580.799,61.307,21780,2700316,46232
Finishing Move,13.0,142529.462,14.653,2457.046,179.762,11050,1852883,135560
Fountainfall,35.5316,48452.645,16.019,2282.956,255.521,12080,1721600,192691
Fountain,45.5676,36344.881,16.918,2196.164,178.373,12758,1656149,134513
Quadruple Technical Finish,7.0,213521.714,12.067,1982.008,202.978,9100,1494652,153068
Starfall Dance,7.0,210966.429,5.569,1958.289,51.695,4200,1476765,38984
Double Standard Finish,13.0,109939.846,14.653,1895.238,138.992,11050,1429218,104815
Cascade,49.1468,28601.638,14.337,1864.024,143.149,10812,1405679,107950
Dance of the Dawn,7.000000000000001,200136.714,9.282,1857.762,352.345,7000,1400957,265707
Reverse Cascade,36.6006,37327.913,13.59,1811.704,198.903,10248,1366224,149995
Fan Dance III,31.016,38040.141,9.048,1564.564,183.237,6823,1179853,138181
Last Dance,13.0,90544.0,9.309,1560.876,140.304,7020,1177072,105805
Fan Dance,35.957,30722.252,8.582,1464.879,151.848,6472,1104680,114510
Fan Dance IV,13.0,77127.538,7.93,1329.591,160.467,5980,1002658,121010
Tillana,7.0,120068.714,5.569,1114.534,263.794,4200,840481,198930
