sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
-900,80,Suiton,59027.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59027,0,0
80,612,Auto,7779.0,0,0,0,0,7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59027,0,0
601,1001,Spinning Edge,30530.0,0,0,0,0,7779,0,0,0,0,0,0,0,0,0,0,0,0,30530,0,59027,0,0
2250,2782,Auto,8419.0,0,0,0,0,16198,0,0,0,0,0,0,0,0,0,0,0,0,30530,0,59027,0,0
2721,3121,Gust Slash,44058.0,0,0,0,0,16198,0,0,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
3491,4561,Dokumori,44058.0,0,0,0,0,16198,0,44058,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
4420,4952,Auto,8839.0,0,0,0,0,25037,0,44058,0,0,0,0,44058,0,0,0,0,0,30530,0,59027,0,0
4841,6401,Phantom Kamaitachi (pet),75279.0,0,0,0,0,25037,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
7049,7049,Armor Crush (pet),20170.0,0,0,0,20170,25037,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
6590,7122,Auto,10365.0,0,0,0,20170,35402,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
6961,7581,Armor Crush,67806.0,0,0,67806,20170,35402,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
8760,9292,Auto,11401.0,0,0,67806,20170,46803,0,44058,0,0,0,0,44058,0,0,0,75279,0,30530,0,59027,0,0
8381,9671,Kunai's Bane,94931.0,0,0,67806,20170,46803,0,44058,0,0,0,0,44058,0,0,94931,75279,0,30530,0,59027,0,0
10082,10702,Hyosho Ranryu,252114.0,0,0,67806,20170,46803,0,44058,0,0,0,0,44058,0,252114,94931,75279,0,30530,0,59027,0,0
10702,11402,Dream Within a Dream,26847.0,0,0,67806,20170,46803,0,44058,26847,0,0,0,44058,0,252114,94931,75279,0,30530,0,59027,0,0
10930,11462,Auto,11401.0,0,0,67806,20170,58204,0,44058,26847,0,0,0,44058,0,252114,94931,75279,0,30530,0,59027,0,0
10702,11552,Dream Within a Dream,26847.0,0,0,67806,20170,58204,0,44058,53694,0,0,0,44058,0,252114,94931,75279,0,30530,0,59027,0,0
10702,11702,Dream Within a Dream,26847.0,0,0,67806,20170,58204,0,44058,80541,0,0,0,44058,0,252114,94931,75279,0,30530,0,59027,0,0
12583,13293,Raiton,110389.0,0,0,67806,20170,58204,0,44058,80541,0,0,0,44058,0,252114,94931,75279,110389,30530,0,59027,0,0
13100,13632,Auto,11401.0,0,0,67806,20170,69605,0,44058,80541,0,0,0,44058,0,252114,94931,75279,110389,30530,0,59027,0,0
14084,14974,Fuma Shuriken,74587.0,0,0,67806,20170,69605,0,44058,80541,0,0,74587,44058,0,252114,94931,75279,110389,30530,0,59027,0,0
15085,15795,Raiton,110389.0,0,0,67806,20170,69605,0,44058,80541,0,0,74587,44058,0,252114,94931,75279,220778,30530,0,59027,0,0
16085,16617,Auto,11401.0,0,0,67806,20170,81006,0,44058,80541,0,0,74587,44058,0,252114,94931,75279,220778,30530,0,59027,0,0
16085,17065,Suiton,86518.0,0,0,67806,20170,81006,0,44058,80541,0,0,74587,44058,0,252114,94931,75279,220778,30530,0,145545,0,0
17586,18346,Fleeting Raiju,104425.0,0,0,67806,20170,81006,0,44058,80541,104425,0,74587,44058,0,252114,94931,75279,220778,30530,0,145545,0,0
18434,18434,Fleeting Raiju (pet),22188.0,0,0,67806,20170,81006,0,44058,80541,104425,22188,74587,44058,0,252114,94931,75279,220778,30530,0,145545,0,0
18255,18787,Auto,11401.0,0,0,67806,20170,92407,0,44058,80541,104425,22188,74587,44058,0,252114,94931,75279,220778,30530,0,145545,0,0
18826,19181,Tenri Jindo,164100.0,0,0,67806,20170,92407,0,44058,80541,104425,22188,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,0
18206,19236,Zesho Meppo,126801.0,0,0,67806,20170,92407,0,44058,80541,104425,22188,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
19707,20467,Fleeting Raiju,104425.0,0,0,67806,20170,92407,0,44058,80541,208850,22188,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
20555,20555,Fleeting Raiju (pet),22188.0,0,0,67806,20170,92407,0,44058,80541,208850,44376,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
20327,20947,Bhavacakra,59667.0,0,0,67806,20170,92407,59667,44058,80541,208850,44376,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
20425,20957,Auto,11401.0,0,0,67806,20170,103808,59667,44058,80541,208850,44376,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
22595,23127,Auto,11401.0,0,0,67806,20170,115209,59667,44058,80541,208850,44376,74587,44058,0,252114,94931,75279,220778,30530,0,145545,164100,126801
22828,23538,Raiton,110389.0,0,0,67806,20170,115209,59667,44058,80541,208850,44376,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
24328,25088,Fleeting Raiju,104425.0,0,0,67806,20170,115209,59667,44058,80541,313275,44376,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
25176,25176,Fleeting Raiju (pet),19210.0,0,0,67806,20170,115209,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
24765,25297,Auto,9871.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
26536,26536,Spinning Edge (pet),16383.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,16383,145545,164100,126801
26448,26848,Spinning Edge,33044.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
