sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-14000,-14000,Meikyo Shisui,,,,,,,[],
-650,110,Gekko,420.0,42462.0,,Boss1,['Meikyo Shisui'],126106180.0,['Meikyo Shisui'],
110,110,Ikishoten,,,,,,,[],
110,642,Auto,90.0,9146.0,,Boss1,[],5850300.0,['Fugetsu'],
730,730,Grade 4 Gemdraught,,,,,,,[],
1820,2440,Kasha,420.0,51930.0,,Boss1,[],188617385.0,"['Fugetsu', 'Grade 4 Gemdraught']",
2750,3282,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
4291,5091,Yukikaze,340.0,44139.0,,Boss1,['Meikyo Shisui'],136261809.0,"['Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
5220,5220,Chain Stratagem,,,,,,,[],6020.0
5400,5400,Starry Muse,,,,,,,[],
5473,5473,Divination,,,,,,,[],6073.0
5533,5533,Starry Muse,,,,,,,[],
5040,5572,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
6580,6580,Card,,,,,,,[],7200.0
7041,8071,Tendo Setsugekka,1100.0,234138.0,,Boss1,[],639884705.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
7541,8073,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
7831,8501,Hissatsu: Senei,800.0,129098.0,,Boss1,[],1218268627.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
9191,9191,Meikyo Shisui,,,,,,,[],
8571,9601,Tendo Kaeshi Setsugekka,1100.0,248186.0,,Boss1,[],718978883.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
9831,10363,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
9811,10841,Zanshin,940.0,151689.0,,Boss1,[],1681963339.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
10711,11471,Gekko,420.0,67772.0,,Boss1,['Meikyo Shisui'],335745124.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Meikyo Shisui', 'Starry Muse']",
11331,11821,Hissatsu: Gyoten,100.0,16131.0,,Boss1,[],19018926.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
12121,12653,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
13652,14272,Higanbana,200.0,32269.0,,Boss1,[],76119047.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
14411,14943,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
15792,16292,Ogi Namikiri,1000.0,225626.0,,Boss1,[],594215399.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
13652,16500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
16392,16972,Shoha,640.0,103273.0,,Boss1,[],779617034.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
16701,17233,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
17132,17622,Kaeshi: Namikiri,1000.0,225626.0,,Boss1,[],594215399.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
13652,19500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
18991,19523,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
19272,20032,Gekko,420.0,67772.0,,Boss1,[],335745124.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
19892,20512,Hissatsu: Shinten,250.0,40340.0,,Boss1,[],118949293.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
21281,21813,Auto,90.0,12918.0,,Boss1,[],12194814.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
21412,22032,Kasha,420.0,67772.0,,Boss1,[],335745124.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
13652,22500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
22032,22522,Hissatsu: Gyoten,100.0,16131.0,,Boss1,[],19018926.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
23571,24103,Auto,90.0,12187.0,,Boss1,[],10855866.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
23552,24402,Gyofu,240.0,36530.0,,Boss1,[],97543787.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
13652,25500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
25861,26393,Auto,90.0,11606.0,,Boss1,[],9846928.0,"['Chain Stratagem', 'Divination', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
25692,26492,Yukikaze,340.0,49291.0,,Boss1,[],177600251.0,"['Chain Stratagem', 'Divination', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
26312,26932,Hissatsu: Shinten,250.0,30910.0,,Boss1,[],66828064.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,28500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
28442,29472,Tendo Setsugekka,1100.0,188493.0,,Boss1,[],414732390.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
28942,29474,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
29973,31003,Tendo Kaeshi Setsugekka,1100.0,188493.0,,Boss1,[],414732390.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,31500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
31232,31764,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
32113,32963,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
33522,34054,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,34500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
34253,35053,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
35812,36344,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
36393,37243,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
13652,37500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
38102,38634,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
38533,39153,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,40500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
40392,40924,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
40673,41433,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
42682,43214,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,43500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
42813,43663,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
44972,45504,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
44954,45754,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,46500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
47094,47714,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
47262,47794,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,49500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
50034,50654,Midare Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
50534,51066,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
51374,52224,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
13652,52500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
52824,53356,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
53514,54314,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
13652,55500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
55114,55646,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
55654,56504,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
57404,57936,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
57794,58414,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,58500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
58414,59034,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
59694,60226,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
59935,60695,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
13652,61500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
61984,62516,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
62075,62925,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
62695,63315,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
13652,64500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
64274,64806,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
64215,65015,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
66975,66975,Meikyo Shisui,,,,,,,[],
66355,66975,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
66564,67096,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,67500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
68495,69115,Kaeshi: Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
68854,69386,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
69115,69785,Hissatsu: Senei,800.0,91403.0,,Boss1,[],584330583.0,"['Fugetsu', 'Fuka']",
69735,70355,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
13652,70500,Higanbana (dot),50.0,8162.0,,Boss1,[],4868400.0,"['Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Starry Muse']",
71245,72275,Tendo Setsugekka,1100.0,174167.0,,Boss1,[],354073868.0,"['Fugetsu', 'Fuka']",
71745,72277,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
