sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-2600,-2600,Concitation,,,,,,,[],
470,470,Dissipation,,,,,,,[],
1090,1090,Grade 4 Gemdraught,,,,,,,[],
-200,1500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
1500,2032,Auto,90.0,220.0,,Boss1,[],2952.0,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3743,3743,Swiftcast,,,,,,,[],
3140,3940,Broil IV,320.0,44354.0,,Boss1,[],120637446.0,['Grade 4 Gemdraught'],
-200,4500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
4620,5152,Auto,90.0,230.0,,Boss1,[],3270.0,"['Dokumori', 'Grade 4 Gemdraught']",
5220,5220,Chain Stratagem,,,,,,,[],6020.0
5400,5400,Starry Muse,,,,,,,[],
4600,5400,Broil IV,320.0,46572.0,,Boss1,[],133004157.0,"['Dokumori', 'Grade 4 Gemdraught', 'Swiftcast']",
5473,5473,Divination,,,,,,,[],6073.0
5533,5533,Starry Muse,,,,,,,[],
-200,7500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
7940,8740,Broil IV,320.0,54570.0,,Boss1,[],194981299.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
8440,8972,Auto,90.0,270.0,,Boss1,[],4773.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
8543,9613,Energy Drain,100.0,17066.0,,Boss1,[],19070657.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
-200,10500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
10340,11140,Broil IV,320.0,54570.0,,Boss1,[],194981299.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
10943,12013,Energy Drain,100.0,17066.0,,Boss1,[],19070657.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
11560,12092,Auto,90.0,270.0,,Boss1,[],4773.0,"['Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse']",
