sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
0,0,The Wanderer's Minuet,,,,,,,[],
-500,258,Holy Spirit,400.0,31913.0,,Boss1,[],67703560.0,[],
258,790,Auto,90.0,5385.0,,Boss1,[],1961675.0,"[""The Wanderer's Minuet""]",
1000,1623,Fast Blade,220.0,17735.0,,Boss1,[],21278822.0,"[""The Wanderer's Minuet""]",
2498,3030,Auto,90.0,5385.0,,Boss1,[],1961675.0,"[""The Wanderer's Minuet""]",
4125,4125,Grade 4 Gemdraught,,,,,,,[],
3500,4258,Riot Blade,330.0,26609.0,,Boss1,[],47897679.0,"[""The Wanderer's Minuet""]",
5103,5103,Battle Voice,,,,,,,[],5723.0
4738,5270,Auto,90.0,5385.0,,Boss1,[],1961675.0,"[""The Wanderer's Minuet""]",
5723,5723,Radiant Finale,,,,,,,[],6348.0
6000,6578,Royal Authority,460.0,42073.0,,Boss1,[],127909008.0,"['Battle Voice', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
6625,6625,Fight or Flight,,,,,,,[],
6978,7510,Auto,90.0,6230.0,,Boss1,[],2805120.0,"['Battle Voice', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
7250,8540,Imperator,580.0,67639.0,,Boss1,[],330614710.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
8500,9034,Goring Blade,700.0,81633.0,,Boss1,[],481565395.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
9218,9750,Auto,90.0,7788.0,,Boss1,[],4382893.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
9125,10148,Circle of Scorn,140.0,16316.0,,Boss1,[],19239495.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
9125,10500,Circle of Scorn (dot),30.0,3492.0,,Boss1,[],881004.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
11000,11758,Holy Spirit,500.0,58308.0,,Boss1,['Divine Might'],245690951.0,"['Battle Voice', 'Divine Might', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
11625,11982,Expiacion,450.0,52473.0,,Boss1,[],198974231.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
11458,11990,Auto,90.0,7788.0,,Boss1,[],4382893.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
9125,13500,Circle of Scorn (dot),30.0,3492.0,,Boss1,[],881004.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
13500,14123,Confiteor,1000.0,116623.0,,Boss1,['Requiescat'],982849952.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', 'Requiescat', ""The Wanderer's Minuet""]",
13698,14230,Auto,90.0,7788.0,,Boss1,[],4382893.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
14125,14703,Intervene,150.0,17487.0,,Boss1,[],22096450.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
15938,16470,Auto,90.0,7788.0,,Boss1,[],4382893.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
9125,16500,Circle of Scorn (dot),30.0,3492.0,,Boss1,[],881004.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
16000,16666,Blade of Faith,760.0,88632.0,,Boss1,['Requiescat'],567676891.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', 'Requiescat', ""The Wanderer's Minuet""]",
18178,18710,Auto,90.0,7788.0,,Boss1,[],4382893.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', ""The Wanderer's Minuet""]",
18500,19391,Blade of Truth,880.0,102626.0,,Boss1,['Requiescat'],761103176.0,"['Battle Voice', 'Fight or Flight', 'Grade 4 Gemdraught', 'Radiant Finale', 'Requiescat', ""The Wanderer's Minuet""]",
