sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Death Rattle,First Generation,First Legacy,Flanksbane Fang,Flanksting Strike,Fourth Generation,Fourth Legacy,Hindsbane Fang,Hindsting Strike,Hunter's Coil,Hunter's Sting,Ouroboros,Reaving Fangs,Reawaken,Second Generation,Second Legacy,Steel Fangs,Swiftskin's Coil,Swiftskin's Sting,Third Generation,Third Legacy,Twinblood Bite,Twinfang Bite,Uncoiled Fury,Uncoiled Twinblood,Uncoiled Twinfang,Vicewinder
-1200,90,Reaving Fangs,20340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,622,Auto,8124.0,8124,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2461,Swiftskin's Sting,30838.0,8124,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,0
2730,3262,Auto,8124.0,16248,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,0
3801,4381,Vicewinder,55513.0,16248,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,55513
4970,5502,Auto,8124.0,24372,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,55513
6352,7332,Hunter's Coil,74615.0,24372,0,0,0,0,0,0,0,0,0,74615,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,55513
7210,7742,Auto,9538.0,33910,0,0,0,0,0,0,0,0,0,74615,0,0,20340,0,0,0,0,0,30838,0,0,0,0,0,0,0,55513
7592,8212,Twinfang Bite,20516.0,33910,0,0,0,0,0,0,0,0,0,74615,0,0,20340,0,0,0,0,0,30838,0,0,0,20516,0,0,0,55513
8212,8882,Twinblood Bite,22211.0,33910,0,0,0,0,0,0,0,0,0,74615,0,0,20340,0,0,0,0,0,30838,0,0,22211,20516,0,0,0,55513
