sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49638.0,0,0,0,10969,22488,49638,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49638,0
5650,6940,Glare III,49638.0,0,0,0,10969,22488,99276,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,99276,0
8280,8812,Auto,0.0,0,0,0,10969,33732,99276,0
8389,9059,Assize,60690.0,0,60690,0,10969,33732,99276,0
7780,9070,Glare III,53102.0,0,60690,0,10969,33732,152378,0
9060,9640,Afflatus Misery,212420.0,212420,60690,0,10969,33732,152378,0
-170,10500,Dia (dot),11244.0,212420,60690,0,10969,44976,152378,0
11030,11562,Auto,0.0,212420,60690,0,10969,44976,152378,0
11000,11850,Glare IV,97090.0,212420,60690,0,10969,44976,152378,97090
-170,13500,Dia (dot),11244.0,212420,60690,0,10969,56220,152378,97090
12940,13790,Glare IV,97090.0,212420,60690,0,10969,56220,152378,194180
13780,14312,Auto,0.0,212420,60690,0,10969,56220,152378,194180
14881,15731,Glare IV,97090.0,212420,60690,0,10969,56220,152378,291270
-170,16500,Dia (dot),11244.0,212420,60690,0,10969,67464,152378,291270
16530,17062,Auto,0.0,212420,60690,0,10969,67464,152378,291270
17481,18771,Glare III,53102.0,212420,60690,0,10969,67464,205480,291270
-170,19500,Dia (dot),11244.0,212420,60690,0,10969,78708,205480,291270
19921,20453,Auto,0.0,212420,60690,0,10969,78708,205480,291270
19421,20711,Glare III,53102.0,212420,60690,0,10969,78708,258582,291270
-170,22500,Dia (dot),11244.0,212420,60690,0,10969,89952,258582,291270
21361,22651,Glare III,53102.0,212420,60690,0,10969,89952,311684,291270
24101,24633,Auto,0.0,212420,60690,0,10969,89952,311684,291270
23601,24891,Glare III,53102.0,212420,60690,0,10969,89952,364786,291270
-170,25500,Dia (dot),11244.0,212420,60690,0,10969,101196,364786,291270
25071,26361,Dia,12835.0,212420,60690,0,23804,101196,364786,291270
25071,28500,Dia (dot),13157.0,212420,60690,0,23804,114353,364786,291270
28961,29493,Auto,0.0,212420,60690,0,23804,114353,364786,291270
28461,29751,Glare III,49638.0,212420,60690,0,23804,114353,414424,291270
25071,31500,Dia (dot),13157.0,212420,60690,0,23804,127510,414424,291270
32401,32933,Auto,0.0,212420,60690,0,23804,127510,414424,291270
25071,34500,Dia (dot),13157.0,212420,60690,0,23804,140667,414424,291270
35841,36373,Auto,0.0,212420,60690,0,23804,140667,414424,291270
25071,37500,Dia (dot),13157.0,212420,60690,0,23804,153824,414424,291270
37221,37801,Afflatus Misery,183437.0,395857,60690,0,23804,153824,414424,291270
39281,39813,Auto,0.0,395857,60690,0,23804,153824,414424,291270
25071,40500,Dia (dot),13157.0,395857,60690,0,23804,166981,414424,291270
40611,41901,Glare III,45857.0,395857,60690,0,23804,166981,460281,291270
25071,43500,Dia (dot),13157.0,395857,60690,0,23804,180138,460281,291270
43541,44073,Auto,0.0,395857,60690,0,23804,180138,460281,291270
43041,44331,Glare III,45834.0,395857,60690,0,23804,180138,506115,291270
