sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Cascade,Dance of the Dawn,Double Standard Finish,Fan Dance,Fan Dance III,Fan Dance IV,Finishing Move,Fountain,Fountainfall,Last Dance,Quadruple Technical Finish,Reverse Cascade,Saber Dance,Starfall Dance,Tillana
-600,-70,Double Standard Finish,850,1.0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
-70,688,Auto,90,1.0,90,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
3050,3808,Auto,90,1.0,180,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6170,6928,Auto,90,1.0,270,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0
6400,6935,Quadruple Technical Finish,1300,1.0,270,0,0,850,0,0,0,0,0,0,0,1300,0,0,0,0
8525,9145,Fan Dance III,220,1.0,270,0,0,850,0,220,0,0,0,0,0,1300,0,0,0,0
7900,9150,Last Dance,540,1.0,270,0,0,850,0,220,0,0,0,0,540,1300,0,0,0,0
9150,9470,Fan Dance IV,460,1.0,270,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
9290,10048,Auto,90,1.0,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,0
10400,11240,Tillana,420,0.7016,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,0,420
10400,11290,Starfall Dance,104,0.1735,360,0,0,850,0,220,460,0,0,0,540,1300,0,0,104,420
10400,12760,Dance of the Dawn,124,0.1249,360,0,124,850,0,220,460,0,0,0,540,1300,0,0,104,420
12410,13168,Auto,90,1.0,450,0,124,850,0,220,460,0,0,0,540,1300,0,0,104,420
12900,13740,Tillana,66,0.1105,450,0,124,850,0,220,460,0,0,0,540,1300,0,0,104,486
12900,13790,Starfall Dance,8,0.0144,450,0,124,850,0,220,460,0,0,0,540,1300,0,0,112,486
12900,14110,Fountainfall,12,0.0365,450,0,124,850,0,220,460,0,0,12,540,1300,0,0,112,486
13550,14170,Fan Dance,3,0.0195,450,0,124,850,3,220,460,0,0,12,540,1300,0,0,112,486
14200,14820,Fan Dance III,1,0.0089,450,0,124,850,3,221,460,0,0,12,540,1300,0,0,112,486
12900,15260,Dance of the Dawn,838,0.8386,450,0,962,850,3,221,460,0,0,12,540,1300,0,0,112,486
15530,16288,Auto,90,1.0,540,0,962,850,3,221,460,0,0,12,540,1300,0,0,112,486
15400,17450,Finishing Move,850,1.0,540,0,962,850,3,221,460,850,0,12,540,1300,0,0,112,486
17900,18340,Saber Dance,183,0.3404,540,0,962,850,3,221,460,850,0,12,540,1300,0,183,112,486
17900,18740,Tillana,38,0.0648,540,0,962,850,3,221,460,850,0,12,540,1300,0,183,112,524
17900,18790,Starfall Dance,318,0.5301,540,0,962,850,3,221,460,850,0,12,540,1300,0,183,430,524
17900,19110,Fountainfall,9,0.0282,540,0,962,850,3,221,460,850,0,21,540,1300,0,183,430,524
18550,19170,Fan Dance,2,0.0133,540,0,962,850,5,221,460,850,0,21,540,1300,0,183,430,524
18650,19408,Auto,90,1.0,630,0,962,850,5,221,460,850,0,21,540,1300,0,183,430,524
19200,19820,Fan Dance III,1,0.0058,630,0,962,850,5,222,460,850,0,21,540,1300,0,183,430,524
17900,20260,Dance of the Dawn,36,0.0365,630,0,998,850,5,222,460,850,0,21,540,1300,0,183,430,524
20400,20840,Saber Dance,326,0.6053,630,0,998,850,5,222,460,850,0,21,540,1300,0,509,430,524
20400,21020,Reverse Cascade,2,0.0078,630,0,998,850,5,222,460,850,0,21,540,1300,2,509,430,524
20400,21240,Tillana,33,0.056,630,0,998,850,5,222,460,850,0,21,540,1300,2,509,430,557
20400,21290,Starfall Dance,161,0.2688,630,0,998,850,5,222,460,850,0,21,540,1300,2,509,591,557
20400,21610,Fountainfall,21,0.0621,630,0,998,850,5,222,460,850,0,42,540,1300,2,509,591,557
21050,21670,Fan Dance,6,0.0366,630,0,998,850,11,222,460,850,0,42,540,1300,2,509,591,557
21700,22320,Fan Dance III,3,0.018,630,0,998,850,11,225,460,850,0,42,540,1300,2,509,591,557
21770,22528,Auto,90,1.0,720,0,998,850,11,225,460,850,0,42,540,1300,2,509,591,557
22900,23340,Saber Dance,309,0.5725,720,0,998,850,11,225,460,850,0,42,540,1300,2,818,591,557
22900,23520,Reverse Cascade,3,0.0118,720,0,998,850,11,225,460,850,0,42,540,1300,5,818,591,557
22900,23740,Tillana,22,0.0372,720,0,998,850,11,225,460,850,0,42,540,1300,5,818,591,579
22900,23790,Starfall Dance,7,0.0127,720,0,998,850,11,225,460,850,0,42,540,1300,5,818,598,579
22900,24110,Fountainfall,124,0.3658,720,0,998,850,11,225,460,850,0,166,540,1300,5,818,598,579
23550,24170,Fan Dance,34,0.1926,720,0,998,850,45,225,460,850,0,166,540,1300,5,818,598,579
24200,24820,Fan Dance III,20,0.0949,720,0,998,850,45,245,460,850,0,166,540,1300,5,818,598,579
24890,25648,Auto,90,1.0,810,0,998,850,45,245,460,850,0,166,540,1300,5,818,598,579
25400,25840,Saber Dance,211,0.3911,810,0,998,850,45,245,460,850,0,166,540,1300,5,1029,598,579
25400,26020,Reverse Cascade,49,0.1764,810,0,998,850,45,245,460,850,0,166,540,1300,54,1029,598,579
25400,26200,Cascade,0,0.0002,810,0,998,850,45,245,460,850,0,166,540,1300,54,1029,598,579
25400,26240,Tillana,17,0.0299,810,0,998,850,45,245,460,850,0,166,540,1300,54,1029,598,596
25400,26290,Starfall Dance,0,0.0005,810,0,998,850,45,245,460,850,0,166,540,1300,54,1029,598,596
25400,26610,Fountainfall,136,0.4019,810,0,998,850,45,245,460,850,0,302,540,1300,54,1029,598,596
26025,26645,Fan Dance,51,0.2879,810,0,998,850,96,245,460,850,0,302,540,1300,54,1029,598,596
26650,27270,Fan Dance III,31,0.1441,810,0,998,850,96,276,460,850,0,302,540,1300,54,1029,598,596
27900,28340,Saber Dance,71,0.1321,810,0,998,850,96,276,460,850,0,302,540,1300,54,1100,598,596
27900,28520,Reverse Cascade,195,0.6985,810,0,998,850,96,276,460,850,0,302,540,1300,249,1100,598,596
27900,28700,Cascade,14,0.0637,810,14,998,850,96,276,460,850,0,302,540,1300,249,1100,598,596
28010,28768,Auto,90,1.0,900,14,998,850,96,276,460,850,0,302,540,1300,249,1100,598,596
27900,28880,Fountain,0,0.0002,900,14,998,850,96,276,460,850,0,302,540,1300,249,1100,598,596
27900,29110,Fountainfall,35,0.1055,900,14,998,850,96,276,460,850,0,337,540,1300,249,1100,598,596
30400,30840,Saber Dance,198,0.3685,900,14,998,850,96,276,460,850,0,337,540,1300,249,1298,598,596
30400,31020,Reverse Cascade,7,0.028,900,14,998,850,96,276,460,850,0,337,540,1300,256,1298,598,596
30400,31200,Cascade,126,0.5737,900,140,998,850,96,276,460,850,0,337,540,1300,256,1298,598,596
30400,31380,Fountain,8,0.0298,900,140,998,850,96,276,460,850,8,337,540,1300,256,1298,598,596
31130,31888,Auto,90,1.0,990,140,998,850,96,276,460,850,8,337,540,1300,256,1298,598,596
32900,33340,Saber Dance,31,0.0589,990,140,998,850,96,276,460,850,8,337,540,1300,256,1329,598,596
32900,33520,Reverse Cascade,76,0.2741,990,140,998,850,96,276,460,850,8,337,540,1300,332,1329,598,596
32900,33700,Cascade,78,0.3578,990,218,998,850,96,276,460,850,8,337,540,1300,332,1329,598,596
32900,33880,Fountain,81,0.2924,990,218,998,850,96,276,460,850,89,337,540,1300,332,1329,598,596
32900,34110,Fountainfall,5,0.0168,990,218,998,850,96,276,460,850,89,342,540,1300,332,1329,598,596
34250,35008,Auto,90,1.0,1080,218,998,850,96,276,460,850,89,342,540,1300,332,1329,598,596
35400,35840,Saber Dance,94,0.1744,1080,218,998,850,96,276,460,850,89,342,540,1300,332,1423,598,596
35400,36020,Reverse Cascade,53,0.1896,1080,218,998,850,96,276,460,850,89,342,540,1300,385,1423,598,596
35400,36200,Cascade,24,0.1114,1080,242,998,850,96,276,460,850,89,342,540,1300,385,1423,598,596
35400,36380,Fountain,105,0.378,1080,242,998,850,96,276,460,850,194,342,540,1300,385,1423,598,596
35400,36610,Fountainfall,49,0.1466,1080,242,998,850,96,276,460,850,194,391,540,1300,385,1423,598,596
37370,38128,Auto,90,1.0,1170,242,998,850,96,276,460,850,194,391,540,1300,385,1423,598,596
37900,38340,Saber Dance,93,0.1726,1170,242,998,850,96,276,460,850,194,391,540,1300,385,1516,598,596
37900,38520,Reverse Cascade,16,0.0575,1170,242,998,850,96,276,460,850,194,391,540,1300,401,1516,598,596
37900,38700,Cascade,57,0.2611,1170,299,998,850,96,276,460,850,194,391,540,1300,401,1516,598,596
37900,38880,Fountain,91,0.3251,1170,299,998,850,96,276,460,850,285,391,540,1300,401,1516,598,596
37900,39110,Fountainfall,62,0.1837,1170,299,998,850,96,276,460,850,285,453,540,1300,401,1516,598,596
40400,40840,Saber Dance,70,0.1313,1170,299,998,850,96,276,460,850,285,453,540,1300,401,1586,598,596
40400,41020,Reverse Cascade,38,0.1368,1170,299,998,850,96,276,460,850,285,453,540,1300,439,1586,598,596
