sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-1200,-1200,Grade 4 Gemdraught,,,,,,,[],
-600,-70,Double Standard Finish,850.0,105090.0,,Boss1,[],772066351.0,[],
25,25,Flourish,,,,,,,[],
-70,688,Auto,90.0,10937.0,,Boss1,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']",
3050,3808,Auto,90.0,10937.0,,Boss1,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']",
6170,6928,Auto,90.0,10937.0,,Boss1,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']",
6400,6935,Quadruple Technical Finish,1300.0,182613.0,,Boss1,[],2331284466.0,"['Grade 4 Gemdraught', 'Standard Finish']",
7025,7025,Devilment,,,,,,,[],
8525,9145,Fan Dance III,220.0,37565.0,1.0,Boss1,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
7900,9150,Last Dance,540.0,92216.0,1.0,Boss1,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
9150,9470,Fan Dance IV,460.0,78556.0,1.0,Boss1,[],442748095.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
9290,10048,Auto,90.0,13297.0,,Boss1,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
10400,11240,Tillana,600.0,71893.0,0.7016,Boss1,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
10400,11290,Starfall Dance,600.0,31086.0,0.1735,Boss1,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
10400,12760,Dance of the Dawn,1000.0,21331.0,0.1249,Boss1,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
12410,13168,Auto,90.0,13297.0,,Boss1,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
12900,13740,Tillana,600.0,11323.0,0.1105,Boss1,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
12900,13790,Starfall Dance,600.0,2580.0,0.0144,Boss1,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
12900,14110,Fountainfall,340.0,2119.0,0.0365,Boss1,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
13550,14170,Fan Dance,180.0,599.0,0.0195,Boss1,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
14200,14820,Fan Dance III,220.0,334.0,0.0089,Boss1,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
12900,15260,Dance of the Dawn,1000.0,143220.0,0.8386,Boss1,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
15530,16288,Auto,90.0,13297.0,,Boss1,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
15400,17450,Finishing Move,850.0,145163.0,,Boss1,[],1511822207.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
17900,18340,Saber Dance,540.0,31390.0,0.3404,Boss1,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
17900,18740,Tillana,600.0,6640.0,0.0648,Boss1,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
17900,18790,Starfall Dance,600.0,94979.0,0.5301,Boss1,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
17900,19110,Fountainfall,340.0,1637.0,0.0282,Boss1,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
18550,19170,Fan Dance,180.0,408.0,0.0133,Boss1,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
18650,19408,Auto,90.0,13297.0,,Boss1,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
19200,19820,Fan Dance III,220.0,217.0,0.0058,Boss1,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
17900,20260,Dance of the Dawn,1000.0,6233.0,0.0365,Boss1,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']",
