sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-630,37,Onslaught,150.0,12126.0,,Boss1,[],9774958.0,[],
37,569,Auto,90.0,8128.0,,Boss1,[],4391455.0,[],
170,702,Heavy Swing,240.0,19401.0,,Boss1,[],25021639.0,[],
795,795,Infuriate,,,,,,,[],
2670,3293,Maim,340.0,27490.0,,Boss1,[],50236558.0,[],
3397,3929,Auto,90.0,8128.0,,Boss1,[],4391455.0,[],
5795,5795,Inner Release,,,,,,,[],
6400,6400,Quadruple Technical Finish,,,,,,,[],
6420,6420,Grade 4 Gemdraught,,,,,,,[],
6533,6533,Quadruple Technical Finish,,,,,,,[],
5170,6819,Storm's Eye,500.0,40431.0,,Boss1,[],108662410.0,[],
6757,7289,Auto,90.0,9387.0,,Boss1,['Surging Tempest'],5859094.0,"['Surging Tempest', 'Technical Finish']",
7670,8607,Inner Chaos,700.0,121996.0,,Boss1,['Surging Tempest'],12405366.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
8295,8918,Upheaval,420.0,42437.0,,Boss1,['Surging Tempest'],119714685.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
8920,9587,Onslaught,150.0,15152.0,,Boss1,['Surging Tempest'],15261267.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
10117,10649,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
10170,10793,Fell Cleave,580.0,101081.0,,Boss1,['Surging Tempest'],8515990.0,"['Grade 4 Gemdraught', 'Inner Release', 'Surging Tempest', 'Technical Finish']",
10795,11462,Onslaught,150.0,15152.0,,Boss1,['Surging Tempest'],15261267.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
12670,13293,Fell Cleave,580.0,101081.0,,Boss1,['Surging Tempest'],8515990.0,"['Grade 4 Gemdraught', 'Inner Release', 'Surging Tempest', 'Technical Finish']",
13477,14009,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
15170,15793,Fell Cleave,580.0,101081.0,,Boss1,['Surging Tempest'],8515990.0,"['Grade 4 Gemdraught', 'Inner Release', 'Surging Tempest', 'Technical Finish']",
16420,16420,Infuriate,,,,,,,[],
15795,16945,Primal Wrath,700.0,70737.0,,Boss1,['Surging Tempest'],332620520.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
16837,17369,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
17670,18830,Primal Rend,720.0,125481.0,,Boss1,['Surging Tempest'],13123116.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
20197,20729,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
20170,21230,Primal Ruination,800.0,139427.0,,Boss1,['Surging Tempest'],16202927.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
22670,23607,Inner Chaos,700.0,121996.0,,Boss1,['Surging Tempest'],12405366.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
23557,24089,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
25171,25703,Heavy Swing,240.0,24243.0,,Boss1,['Surging Tempest'],39071248.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
26917,27449,Auto,90.0,10160.0,,Boss1,['Surging Tempest'],6861149.0,"['Grade 4 Gemdraught', 'Surging Tempest', 'Technical Finish']",
27671,28294,Maim,340.0,32714.0,,Boss1,['Surging Tempest'],71146594.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
30277,30809,Auto,90.0,9676.0,,Boss1,['Surging Tempest'],6223026.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
30796,31463,Onslaught,150.0,14430.0,,Boss1,['Surging Tempest'],13842047.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
30171,31686,Storm's Path,500.0,48117.0,,Boss1,['Surging Tempest'],153906513.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
32671,33294,Fell Cleave,580.0,55814.0,,Boss1,['Surging Tempest'],207082394.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
33296,33296,Infuriate,,,,,,,[],
33637,34169,Auto,90.0,9676.0,,Boss1,['Surging Tempest'],6223026.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
35171,36108,Inner Chaos,700.0,116187.0,,Boss1,['Surging Tempest'],11252033.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
36997,37529,Auto,90.0,9676.0,,Boss1,['Surging Tempest'],6223026.0,"['Grade 4 Gemdraught', 'Surging Tempest']",
37671,38203,Heavy Swing,240.0,21341.0,,Boss1,['Surging Tempest'],30278556.0,['Surging Tempest'],
38296,38919,Upheaval,420.0,37355.0,,Boss1,['Surging Tempest'],92756681.0,['Surging Tempest'],
40171,40794,Maim,340.0,30239.0,,Boss1,['Surging Tempest'],60784922.0,['Surging Tempest'],
40357,40889,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
43717,44249,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
42671,44320,Storm's Eye,500.0,44474.0,,Boss1,['Surging Tempest'],131481340.0,['Surging Tempest'],
45171,45703,Heavy Swing,240.0,21341.0,,Boss1,['Surging Tempest'],30278556.0,['Surging Tempest'],
47077,47609,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
47671,48294,Maim,340.0,30239.0,,Boss1,['Surging Tempest'],60784922.0,['Surging Tempest'],
50437,50969,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
50171,51820,Storm's Eye,500.0,44474.0,,Boss1,['Surging Tempest'],131481340.0,['Surging Tempest'],
52671,53203,Heavy Swing,240.0,21341.0,,Boss1,['Surging Tempest'],30278556.0,['Surging Tempest'],
53797,54329,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
55171,55794,Maim,340.0,30239.0,,Boss1,['Surging Tempest'],60784922.0,['Surging Tempest'],
57157,57689,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
57671,58294,Fell Cleave,580.0,51589.0,,Boss1,['Surging Tempest'],176915445.0,['Surging Tempest'],
60517,61049,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
60171,61686,Storm's Path,500.0,44474.0,,Boss1,['Surging Tempest'],131481340.0,['Surging Tempest'],
62671,63203,Heavy Swing,240.0,21341.0,,Boss1,['Surging Tempest'],30278556.0,['Surging Tempest'],
63877,64409,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
65171,65794,Maim,340.0,30239.0,,Boss1,['Surging Tempest'],60784922.0,['Surging Tempest'],
65796,65796,Inner Release,,,,,,,[],
67237,67769,Auto,90.0,8941.0,,Boss1,['Surging Tempest'],5313749.0,['Surging Tempest'],
67671,68294,Fell Cleave,580.0,88980.0,,Boss1,['Surging Tempest'],6597867.0,"['Inner Release', 'Surging Tempest']",
68296,68919,Upheaval,420.0,37355.0,,Boss1,['Surging Tempest'],92756681.0,['Surging Tempest'],
