sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.521,14516.211,431.831,34009.077,607.46,325325,25621112,457637
Burst Shot,184.69410000000002,28999.838,53.934,7109.605,171.722,40632,5356099,129369
Refulgent Arrow,91.64959999999999,41437.649,34.062,5041.068,236.128,25661,3797744,177890
Shot,248.0,9506.004,26.335,3129.295,54.595,19840,2357489,41130
Heartbreak Shot,89.9897,26102.121,21.501,3117.924,123.076,16198,2348922,92721
Pitch Perfect,32.5313,56565.031,14.324,2442.566,213.458,10791,1840134,160811
Empyreal Arrow,49.0,36650.898,16.911,2383.843,93.784,12740,1795894,70653
Radiant Encore,7.0,220410.286,9.69,2047.985,212.468,7300,1542872,160065
Apex Arrow,11.999999999999998,114995.0,10.855,1831.711,341.981,8178,1379940,257635
Blast Arrow,11.6563,118322.881,10.83,1830.739,150.678,8159,1379207,113515
Resonant Arrow,7.0,135345.857,5.947,1257.592,129.36,4480,947421,97455
Stormbite (dot),251.0,3739.968,8.329,1246.059,21.821,6275,938732,16439
Sidewinder,13.0,68550.0,6.902,1182.899,91.475,5200,891150,68914
Caustic Bite (dot),250.0,2993.9,6.637,993.514,17.439,5000,748475,13138
Iron Jaws,18.0,14778.111,2.389,353.092,23.058,1800,266006,17371
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
