sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
-900,80,Suiton,580,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0
80,612,Auto,90,1.0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0
601,1001,Spinning Edge,300,1.0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,300,0,580,0,0
2250,2782,Auto,90,1.0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,300,0,580,0,0
2721,3121,Gust Slash,400,1.0,0,0,0,0,180,0,0,0,0,0,0,400,0,0,0,0,0,300,0,580,0,0
3491,4561,Dokumori,400,1.0,0,0,0,0,180,0,400,0,0,0,0,400,0,0,0,0,0,300,0,580,0,0
4420,4952,Auto,90,1.0,0,0,0,0,270,0,400,0,0,0,0,400,0,0,0,0,0,300,0,580,0,0
4841,6401,Phantom Kamaitachi (pet),700,1.0,0,0,0,0,270,0,400,0,0,0,0,400,0,0,0,700,0,300,0,580,0,0
7049,7049,Armor Crush (pet),160,1.0,0,0,0,160,270,0,400,0,0,0,0,400,0,0,0,700,0,300,0,580,0,0
6590,7122,Auto,90,1.0,0,0,0,160,360,0,400,0,0,0,0,400,0,0,0,700,0,300,0,580,0,0
6961,7581,Armor Crush,500,1.0,0,0,500,160,360,0,400,0,0,0,0,400,0,0,0,700,0,300,0,580,0,0
8760,9292,Auto,90,1.0,0,0,500,160,450,0,400,0,0,0,0,400,0,0,0,700,0,300,0,580,0,0
8381,9671,Kunai's Bane,700,1.0,0,0,500,160,450,0,400,0,0,0,0,400,0,0,700,700,0,300,0,580,0,0
10082,10702,Hyosho Ranryu,1300,1.0,0,0,500,160,450,0,400,0,0,0,0,400,0,1300,700,700,0,300,0,580,0,0
10702,11402,Dream Within a Dream,180,1.0,0,0,500,160,450,0,400,180,0,0,0,400,0,1300,700,700,0,300,0,580,0,0
10930,11462,Auto,90,1.0,0,0,500,160,540,0,400,180,0,0,0,400,0,1300,700,700,0,300,0,580,0,0
10702,11552,Dream Within a Dream,180,1.0,0,0,500,160,540,0,400,360,0,0,0,400,0,1300,700,700,0,300,0,580,0,0
10702,11702,Dream Within a Dream,180,1.0,0,0,500,160,540,0,400,540,0,0,0,400,0,1300,700,700,0,300,0,580,0,0
12583,13293,Raiton,740,1.0,0,0,500,160,540,0,400,540,0,0,0,400,0,1300,700,700,740,300,0,580,0,0
13100,13632,Auto,90,1.0,0,0,500,160,630,0,400,540,0,0,0,400,0,1300,700,700,740,300,0,580,0,0
