sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,28134.429,300.405,27226.253,321.752,226300,20509999,242381
Souleater,73,42979.507,46.514,4164.919,125.713,35040,3137504,94702
Syphon Strike,73,34062.425,36.824,3300.811,99.635,27740,2486557,75057
Auto,255,7957.969,30.465,2693.796,43.506,22950,2029282,32774
Bloodspiller,37,54195.324,29.47,2661.863,112.882,22200,2005227,85036
Edge of Shadow,47,41898.447,28.7,2614.075,98.377,21620,1969227,74109
Hard Slash,73,26769.507,29.071,2594.093,78.299,21900,1954174,58984
Torcleaver,13,74317.077,14.151,1282.491,91.762,10660,966122,69126
Comeuppance,13,65252.308,12.425,1126.06,80.57,9360,848280,60695
Shadowbringer,14,55242.143,11.151,1026.646,70.796,8400,773390,53332
Scarlet Delirium,13,56188.077,10.699,969.638,69.377,8060,730445,52263
Disesteem,7,92076.143,9.292,855.593,83.44,7000,644533,62857
Carve and Spit,13,48938.846,9.319,844.538,60.426,7020,636205,45520
Disesteem (pet),7,60425.143,5.761,561.485,54.763,4340,422976,41254
Salt and Darkness,9,45688.333,5.974,545.846,46.943,4500,411195,35363
Shadowbringer (pet),7,55551.429,5.297,516.197,50.345,3990,388860,37926
Abyssal Drain (pet),7,40929.143,3.903,380.323,37.093,2940,286504,27943
Bloodspiller (pet),7,40929.143,3.903,380.323,37.093,2940,286504,27943
Edge of Shadow (pet),7,40929.143,3.903,380.323,37.093,2940,286504,27943
Salted Earth (dot),45,4565.0,2.987,272.694,10.488,2250,205425,7901
Salted Earth,9,4565.0,0.597,54.539,4.69,450,41085,3533
