sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
-1000,150,Air Anchor,152217.0,152217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-380,330,Checkmate,24091.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,0,0
150,908,Shot,7847.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,7847,0
240,950,Double Check,24091.0,152217,0,0,0,24091,0,24091,0,0,0,0,0,0,0,0,7847,0
1501,2651,Drill,88349.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,7847,0
2790,3548,Shot,7847.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
4001,5031,Chain Saw,88349.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
5430,6188,Shot,7847.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,23541,0
6502,7572,Excavator,88349.0,152217,0,0,88349,24091,0,24091,88349,88349,0,0,0,0,0,0,23541,0
8070,8828,Shot,7847.0,152217,0,0,88349,24091,0,24091,88349,88349,0,0,0,0,0,0,31388,0
9002,10152,Drill,152217.0,152217,0,0,88349,24091,0,24091,240566,88349,0,0,0,0,0,0,31388,0
9622,10332,Checkmate,24091.0,152217,0,0,88349,48182,0,24091,240566,88349,0,0,0,0,0,0,31388,0
10710,11468,Shot,7847.0,152217,0,0,88349,48182,0,24091,240566,88349,0,0,0,0,0,0,39235,0
11503,12533,Full Metal Field,207573.0,152217,0,0,88349,48182,0,24091,240566,88349,207573,0,0,0,0,0,39235,0
12622,12622,Roller Dash (pet),35380.0,152217,0,0,88349,48182,0,24091,240566,88349,207573,0,0,0,0,35380,39235,0
12123,12833,Double Check,24091.0,152217,0,0,88349,48182,0,48182,240566,88349,207573,0,0,0,0,35380,39235,0
13350,14108,Shot,7847.0,152217,0,0,88349,48182,0,48182,240566,88349,207573,0,0,0,0,35380,47082,0
14003,14853,Blazing Shot,34802.0,152217,0,34802,88349,48182,0,48182,240566,88349,207573,0,0,0,0,35380,47082,0
14623,15333,Checkmate,24091.0,152217,0,34802,88349,72273,0,48182,240566,88349,207573,0,0,0,0,35380,47082,0
15822,15822,Arm Punch (pet),17687.0,152217,17687,34802,88349,72273,0,48182,240566,88349,207573,0,0,0,0,35380,47082,0
15504,16354,Blazing Shot,34802.0,152217,17687,69604,88349,72273,0,48182,240566,88349,207573,0,0,0,0,35380,47082,0
15990,16748,Shot,7847.0,152217,17687,69604,88349,72273,0,48182,240566,88349,207573,0,0,0,0,35380,54929,0
16123,16833,Double Check,24091.0,152217,17687,69604,88349,72273,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
17422,17422,Arm Punch (pet),17687.0,152217,35374,69604,88349,72273,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
17004,17854,Blazing Shot,34802.0,152217,35374,104406,88349,72273,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
17624,18334,Checkmate,24091.0,152217,35374,104406,88349,96364,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
19022,19022,Arm Punch (pet),17687.0,152217,53061,104406,88349,96364,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
18505,19355,Blazing Shot,34802.0,152217,53061,139208,88349,96364,0,72273,240566,88349,207573,0,0,0,0,35380,54929,0
18630,19388,Shot,7847.0,152217,53061,139208,88349,96364,0,72273,240566,88349,207573,0,0,0,0,35380,62776,0
19125,19835,Double Check,24091.0,152217,53061,139208,88349,96364,0,96364,240566,88349,207573,0,0,0,0,35380,62776,0
20622,20622,Pile Bunker (pet),50121.0,152217,53061,139208,88349,96364,0,96364,240566,88349,207573,0,0,0,50121,35380,62776,0
20005,20855,Blazing Shot,34802.0,152217,53061,174010,88349,96364,0,96364,240566,88349,207573,0,0,0,50121,35380,62776,0
10242,20912,Wildfire (dot),151223.0,152217,53061,174010,88349,96364,0,96364,240566,88349,207573,0,0,0,50121,35380,62776,151223
20625,21335,Checkmate,24091.0,152217,53061,174010,88349,120455,0,96364,240566,88349,207573,0,0,0,50121,35380,62776,151223
21270,22028,Shot,7847.0,152217,53061,174010,88349,120455,0,96364,240566,88349,207573,0,0,0,50121,35380,70623,151223
22622,22622,Crowned Collider (pet),57494.0,152217,53061,174010,88349,120455,57494,96364,240566,88349,207573,0,0,0,50121,35380,70623,151223
21506,22656,Drill,88349.0,152217,53061,174010,88349,120455,57494,96364,328915,88349,207573,0,0,0,50121,35380,70623,151223
22126,22836,Double Check,24091.0,152217,53061,174010,88349,120455,57494,120455,328915,88349,207573,0,0,0,50121,35380,70623,151223
22746,23456,Checkmate,24091.0,152217,53061,174010,88349,144546,57494,120455,328915,88349,207573,0,0,0,50121,35380,70623,151223
23910,24668,Shot,7847.0,152217,53061,174010,88349,144546,57494,120455,328915,88349,207573,0,0,0,50121,35380,78470,151223
24006,24806,Heated Split Shot,29444.0,152217,53061,174010,88349,144546,57494,120455,328915,88349,207573,0,0,29444,50121,35380,78470,151223
24626,25336,Double Check,24091.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,0,0,29444,50121,35380,78470,151223
26507,27307,Heated Slug Shot,42833.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,0,42833,29444,50121,35380,78470,151223
26550,27308,Shot,7847.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,0,42833,29444,50121,35380,86317,151223
29007,29807,Heated Clean Shot,51946.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,42833,29444,50121,35380,86317,151223
29190,29948,Shot,7251.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,42833,29444,50121,35380,93568,151223
31508,32308,Heated Split Shot,27207.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,42833,56651,50121,35380,93568,151223
31830,32588,Shot,7251.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,42833,56651,50121,35380,100819,151223
34008,34808,Heated Slug Shot,39574.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,82407,56651,50121,35380,100819,151223
34470,35228,Shot,7251.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,51946,82407,56651,50121,35380,108070,151223
36509,37309,Heated Clean Shot,51946.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,56651,50121,35380,108070,151223
37110,37868,Shot,7251.0,152217,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,56651,50121,35380,115321,151223
39009,40159,Air Anchor,81629.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,56651,50121,35380,115321,151223
39750,40508,Shot,7251.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,56651,50121,35380,122572,151223
41510,42310,Heated Split Shot,27207.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,83858,50121,35380,122572,151223
42390,43148,Shot,7251.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,82407,83858,50121,35380,129823,151223
44010,44810,Heated Slug Shot,39574.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,121981,83858,50121,35380,129823,151223
45030,45788,Shot,7251.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,103892,121981,83858,50121,35380,137074,151223
46511,47311,Heated Clean Shot,51946.0,233846,53061,174010,88349,144546,57494,144546,328915,88349,207573,155838,121981,83858,50121,35380,137074,151223
47131,47841,Checkmate,22256.0,233846,53061,174010,88349,166802,57494,144546,328915,88349,207573,155838,121981,83858,50121,35380,137074,151223
47670,48428,Shot,7251.0,233846,53061,174010,88349,166802,57494,144546,328915,88349,207573,155838,121981,83858,50121,35380,144325,151223
47751,48461,Double Check,22256.0,233846,53061,174010,88349,166802,57494,166802,328915,88349,207573,155838,121981,83858,50121,35380,144325,151223
49011,50161,Drill,81629.0,233846,53061,174010,88349,166802,57494,166802,410544,88349,207573,155838,121981,83858,50121,35380,144325,151223
50310,51068,Shot,7251.0,233846,53061,174010,88349,166802,57494,166802,410544,88349,207573,155838,121981,83858,50121,35380,151576,151223
51512,52312,Heated Split Shot,27207.0,233846,53061,174010,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,35380,151576,151223
52950,53708,Shot,7251.0,233846,53061,174010,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,35380,158827,151223
54012,54862,Blazing Shot,32154.0,233846,53061,206164,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,35380,158827,151223
55131,55131,Roller Dash (pet),27114.0,233846,53061,206164,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,158827,151223
55590,56348,Shot,7251.0,233846,53061,206164,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,166078,151223
55513,56363,Blazing Shot,32154.0,233846,53061,238318,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,166078,151223
57013,57863,Blazing Shot,32154.0,233846,53061,270472,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,166078,151223
58331,58331,Arm Punch (pet),13555.0,233846,66616,270472,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,166078,151223
58230,58988,Shot,7251.0,233846,66616,270472,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
58514,59364,Blazing Shot,32154.0,233846,66616,302626,88349,166802,57494,166802,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
59134,59844,Double Check,22256.0,233846,66616,302626,88349,166802,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
59931,59931,Arm Punch (pet),13555.0,233846,80171,302626,88349,166802,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
60014,60864,Blazing Shot,32154.0,233846,80171,334780,88349,166802,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
60634,61344,Checkmate,22256.0,233846,80171,334780,88349,189058,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
61531,61531,Arm Punch (pet),13555.0,233846,93726,334780,88349,189058,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,173329,151223
60870,61628,Shot,7251.0,233846,93726,334780,88349,189058,57494,189058,410544,88349,207573,155838,121981,111065,50121,62494,180580,151223
61515,62315,Heated Slug Shot,39574.0,233846,93726,334780,88349,189058,57494,189058,410544,88349,207573,155838,161555,111065,50121,62494,180580,151223
62135,62845,Checkmate,22256.0,233846,93726,334780,88349,211314,57494,189058,410544,88349,207573,155838,161555,111065,50121,62494,180580,151223
63131,63131,Pile Bunker (pet),38417.0,233846,93726,334780,88349,211314,57494,189058,410544,88349,207573,155838,161555,111065,88538,62494,180580,151223
62755,63465,Double Check,22256.0,233846,93726,334780,88349,211314,57494,211314,410544,88349,207573,155838,161555,111065,88538,62494,180580,151223
63510,64268,Shot,7251.0,233846,93726,334780,88349,211314,57494,211314,410544,88349,207573,155838,161555,111065,88538,62494,187831,151223
64015,65045,Chain Saw,81629.0,233846,93726,334780,169978,211314,57494,211314,410544,88349,207573,155838,161555,111065,88538,62494,187831,151223
65131,65131,Crowned Collider (pet),44069.0,233846,93726,334780,169978,211314,101563,211314,410544,88349,207573,155838,161555,111065,88538,62494,187831,151223
66150,66908,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,410544,88349,207573,155838,161555,111065,88538,62494,195082,151223
66516,67586,Excavator,140638.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,155838,161555,111065,88538,62494,195082,151223
68790,69548,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,155838,161555,111065,88538,62494,202333,151223
69016,69816,Heated Clean Shot,51946.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,161555,111065,88538,62494,202333,151223
71430,72188,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,161555,111065,88538,62494,209584,151223
71517,72317,Heated Split Shot,27207.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,161555,138272,88538,62494,209584,151223
74017,74817,Heated Slug Shot,39574.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,201129,138272,88538,62494,209584,151223
74070,74828,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,201129,138272,88538,62494,216835,151223
76710,77468,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,410544,228987,207573,207784,201129,138272,88538,62494,224086,151223
76518,77668,Drill,81629.0,233846,93726,334780,169978,211314,101563,211314,492173,228987,207573,207784,201129,138272,88538,62494,224086,151223
79350,80108,Shot,7251.0,233846,93726,334780,169978,211314,101563,211314,492173,228987,207573,207784,201129,138272,88538,62494,231337,151223
80137,80137,Roller Dash (pet),27114.0,233846,93726,334780,169978,211314,101563,211314,492173,228987,207573,207784,201129,138272,88538,89608,231337,151223
79018,80168,Air Anchor,81629.0,315475,93726,334780,169978,211314,101563,211314,492173,228987,207573,207784,201129,138272,88538,89608,231337,151223
81519,82319,Heated Clean Shot,51946.0,315475,93726,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,138272,88538,89608,231337,151223
81990,82748,Shot,7251.0,315475,93726,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,138272,88538,89608,238588,151223
83337,83337,Arm Punch (pet),13555.0,315475,107281,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,138272,88538,89608,238588,151223
84019,84819,Heated Split Shot,27207.0,315475,107281,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,165479,88538,89608,238588,151223
84937,84937,Arm Punch (pet),13555.0,315475,120836,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,165479,88538,89608,238588,151223
84630,85388,Shot,7251.0,315475,120836,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,165479,88538,89608,245839,151223
86537,86537,Arm Punch (pet),13555.0,315475,134391,334780,169978,211314,101563,211314,492173,228987,207573,259730,201129,165479,88538,89608,245839,151223
86520,87320,Heated Slug Shot,39574.0,315475,134391,334780,169978,211314,101563,211314,492173,228987,207573,259730,240703,165479,88538,89608,245839,151223
87270,88028,Shot,7251.0,315475,134391,334780,169978,211314,101563,211314,492173,228987,207573,259730,240703,165479,88538,89608,253090,151223
88137,88137,Pile Bunker (pet),38417.0,315475,134391,334780,169978,211314,101563,211314,492173,228987,207573,259730,240703,165479,126955,89608,253090,151223
89020,89820,Heated Clean Shot,51946.0,315475,134391,334780,169978,211314,101563,211314,492173,228987,207573,311676,240703,165479,126955,89608,253090,151223
90137,90137,Crowned Collider (pet),44069.0,315475,134391,334780,169978,211314,145632,211314,492173,228987,207573,311676,240703,165479,126955,89608,253090,151223
89910,90668,Shot,7251.0,315475,134391,334780,169978,211314,145632,211314,492173,228987,207573,311676,240703,165479,126955,89608,260341,151223
91521,92321,Heated Split Shot,27207.0,315475,134391,334780,169978,211314,145632,211314,492173,228987,207573,311676,240703,192686,126955,89608,260341,151223
92550,93308,Shot,7251.0,315475,134391,334780,169978,211314,145632,211314,492173,228987,207573,311676,240703,192686,126955,89608,267592,151223
94021,94821,Heated Slug Shot,39574.0,315475,134391,334780,169978,211314,145632,211314,492173,228987,207573,311676,280277,192686,126955,89608,267592,151223
94641,95351,Double Check,22256.0,315475,134391,334780,169978,211314,145632,233570,492173,228987,207573,311676,280277,192686,126955,89608,267592,151223
95190,95948,Shot,7251.0,315475,134391,334780,169978,211314,145632,233570,492173,228987,207573,311676,280277,192686,126955,89608,274843,151223
