sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,32287.15,310.03,39019.861,375.781,232678,29284445,282024
Blazing Shot,105,32784.476,36.376,4586.763,118.769,27300,3442370,89136
Drill,39,87623.487,34.297,4553.38,175.379,25740,3417316,131622
Heated Clean Shot,48,51946.0,26.862,3322.325,127.16,20160,2493408,95434
Shot,284,7322.352,30.273,2770.88,43.612,22720,2079548,32731
Heated Slug Shot,49,39640.51,20.893,2588.118,98.051,15680,1942385,73587
Double Check,80,22737.688,19.187,2423.734,71.903,14400,1819015,53963
Checkmate,79,22767.013,18.947,2396.524,71.546,14220,1798594,53695
Excavator,13,129318.846,11.432,2240.03,54.228,8580,1681145,40698
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,198550.714,8.394,1851.903,20.222,6300,1389855,15177
Heated Split Shot,50,27251.74,14.657,1815.57,68.092,11000,1362587,51103
Crowned Collider (pet),19,62749.684,13.823,1588.597,100.717,10374,1192244,75588
Chain Saw,13,88092.692,11.432,1525.921,101.498,8580,1145205,76174
Arm Punch (pet),57,19303.0,12.759,1466.049,53.664,9576,1100271,40275
Pile Bunker (pet),19,54702.895,12.051,1384.882,87.803,9044,1039355,65896
Wildfire (dot),7,144651.0,13.431,1349.175,14.731,10080,1012557,11056
Roller Dash (pet),19,38611.105,8.506,977.495,61.975,6384,733611,46512
