sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
-650,110,Gekko,420,1.0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,642,Auto,90,1.0,90,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,2440,Kasha,420,1.0,90,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0
2750,3282,Auto,90,1.0,180,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0
4291,5091,Yukikaze,340,1.0,180,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,340,0
5040,5572,Auto,90,1.0,270,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,340,0
7041,8071,Tendo Setsugekka,1100,1.0,270,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,1100,340,0
7541,8073,Auto,90,1.0,360,420,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,1100,340,0
7831,8501,Hissatsu: Senei,800,1.0,360,420,0,0,0,0,800,0,0,0,0,420,0,0,0,0,0,1100,340,0
8571,9601,Tendo Kaeshi Setsugekka,1100,1.0,360,420,0,0,0,0,800,0,0,0,0,420,0,0,0,0,1100,1100,340,0
9831,10363,Auto,90,1.0,450,420,0,0,0,0,800,0,0,0,0,420,0,0,0,0,1100,1100,340,0
9811,10841,Zanshin,940,1.0,450,420,0,0,0,0,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
10711,11471,Gekko,420,1.0,450,840,0,0,0,0,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
11331,11821,Hissatsu: Gyoten,100,1.0,450,840,0,0,0,100,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
12121,12653,Auto,90,1.0,540,840,0,0,0,100,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
13652,14272,Higanbana,200,1.0,540,840,0,200,0,100,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
14411,14943,Auto,90,1.0,630,840,0,200,0,100,800,0,0,0,0,420,0,0,0,0,1100,1100,340,940
15792,16292,Ogi Namikiri,1000,1.0,630,840,0,200,0,100,800,0,0,0,0,420,0,1000,0,0,1100,1100,340,940
13652,16500,Higanbana (dot),50,1.0,630,840,0,200,50,100,800,0,0,0,0,420,0,1000,0,0,1100,1100,340,940
16392,16972,Shoha,640,1.0,630,840,0,200,50,100,800,0,0,0,0,420,0,1000,0,640,1100,1100,340,940
16701,17233,Auto,90,1.0,720,840,0,200,50,100,800,0,0,0,0,420,0,1000,0,640,1100,1100,340,940
17132,17622,Kaeshi: Namikiri,1000,1.0,720,840,0,200,50,100,800,0,0,1000,0,420,0,1000,0,640,1100,1100,340,940
13652,19500,Higanbana (dot),50,1.0,720,840,0,200,100,100,800,0,0,1000,0,420,0,1000,0,640,1100,1100,340,940
18991,19523,Auto,90,1.0,810,840,0,200,100,100,800,0,0,1000,0,420,0,1000,0,640,1100,1100,340,940
19272,20032,Gekko,420,1.0,810,1260,0,200,100,100,800,0,0,1000,0,420,0,1000,0,640,1100,1100,340,940
19892,20512,Hissatsu: Shinten,250,1.0,810,1260,0,200,100,100,800,250,0,1000,0,420,0,1000,0,640,1100,1100,340,940
21281,21813,Auto,90,1.0,900,1260,0,200,100,100,800,250,0,1000,0,420,0,1000,0,640,1100,1100,340,940
21412,22032,Kasha,420,1.0,900,1260,0,200,100,100,800,250,0,1000,0,840,0,1000,0,640,1100,1100,340,940
