sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,21.0,42,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12932.0,42,53462,12932,0,49391,0,0
5841,6511,Dosis III,53462.0,42,106924,12932,0,49391,0,0
6701,7233,Auto,21.0,63,106924,12932,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12932.0,63,106924,25864,0,49391,0,0
7322,7992,Phlegma III,97113.0,63,106924,25864,97113,49391,0,0
7942,9042,Psyche,97113.0,63,106924,25864,97113,49391,97113,0
9501,10033,Auto,21.0,84,106924,25864,97113,49391,97113,0
9762,10432,Phlegma III,97113.0,84,106924,25864,194226,49391,97113,0
940,10500,Eukrasian Dosis III (dot),12932.0,84,106924,38796,194226,49391,97113,0
940,13500,Eukrasian Dosis III (dot),12932.0,84,106924,51728,194226,49391,97113,0
13163,13833,Dosis III,53462.0,84,160386,51728,194226,49391,97113,0
13663,14195,Auto,21.0,105,160386,51728,194226,49391,97113,0
15603,16273,Dosis III,53462.0,105,213848,51728,194226,49391,97113,0
940,16500,Eukrasian Dosis III (dot),12932.0,105,213848,64660,194226,49391,97113,0
16463,16995,Auto,21.0,126,213848,64660,194226,49391,97113,0
18044,18714,Dosis III,53462.0,126,267310,64660,194226,49391,97113,0
940,19500,Eukrasian Dosis III (dot),12932.0,126,267310,77592,194226,49391,97113,0
19263,19795,Auto,21.0,147,267310,77592,194226,49391,97113,0
20484,21154,Dosis III,53462.0,147,320772,77592,194226,49391,97113,0
940,22500,Eukrasian Dosis III (dot),12932.0,147,320772,90524,194226,49391,97113,0
22924,23594,Dosis III,53462.0,147,374234,90524,194226,49391,97113,0
23424,23956,Auto,21.0,168,374234,90524,194226,49391,97113,0
940,25500,Eukrasian Dosis III (dot),12932.0,168,374234,103456,194226,49391,97113,0
26224,26756,Auto,21.0,189,374234,103456,194226,49391,97113,0
25406,28500,Eukrasian Dosis III (dot),12932.0,189,374234,116388,194226,49391,97113,0
27866,28536,Dosis III,53462.0,189,427696,116388,194226,49391,97113,0
29024,29556,Auto,21.0,210,427696,116388,194226,49391,97113,0
30307,30977,Dosis III,53462.0,210,481158,116388,194226,49391,97113,0
25406,31500,Eukrasian Dosis III (dot),12932.0,210,481158,129320,194226,49391,97113,0
32747,33417,Dosis III,49391.0,210,530549,129320,194226,49391,97113,0
33247,33779,Auto,21.0,231,530549,129320,194226,49391,97113,0
25406,34500,Eukrasian Dosis III (dot),12932.0,231,530549,142252,194226,49391,97113,0
35188,35858,Dosis III,49391.0,231,579940,142252,194226,49391,97113,0
36047,36579,Auto,21.0,252,579940,142252,194226,49391,97113,0
25406,37500,Eukrasian Dosis III (dot),12932.0,252,579940,155184,194226,49391,97113,0
37628,38298,Dosis III,49391.0,252,629331,155184,194226,49391,97113,0
38847,39379,Auto,21.0,273,629331,155184,194226,49391,97113,0
25406,40500,Eukrasian Dosis III (dot),12932.0,273,629331,168116,194226,49391,97113,0
40069,40739,Dosis III,49391.0,273,678722,168116,194226,49391,97113,0
42509,43179,Dosis III,49391.0,273,728113,168116,194226,49391,97113,0
25406,43500,Eukrasian Dosis III (dot),12932.0,273,728113,181048,194226,49391,97113,0
43009,43541,Auto,21.0,294,728113,181048,194226,49391,97113,0
44949,45619,Dosis III,49391.0,294,777504,181048,194226,49391,97113,0
45809,46341,Auto,21.0,315,777504,181048,194226,49391,97113,0
25406,46500,Eukrasian Dosis III (dot),12932.0,315,777504,193980,194226,49391,97113,0
47390,48060,Dosis III,49391.0,315,826895,193980,194226,49391,97113,0
48609,49141,Auto,21.0,336,826895,193980,194226,49391,97113,0
25406,49500,Eukrasian Dosis III (dot),12932.0,336,826895,206912,194226,49391,97113,0
49830,50500,Dosis III,49391.0,336,876286,206912,194226,49391,97113,0
25406,52500,Eukrasian Dosis III (dot),12932.0,336,876286,219844,194226,49391,97113,0
52271,52941,Dosis III,49391.0,336,925677,219844,194226,49391,97113,0
52771,53303,Auto,21.0,357,925677,219844,194226,49391,97113,0
