sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Death Rattle,First Generation,First Legacy,Flanksbane Fang,Flanksting Strike,Fourth Generation,Fourth Legacy,Hindsbane Fang,Hindsting Strike,Hunter's Coil,Hunter's Sting,Ouroboros,Reaving Fangs,Reawaken,Second Generation,Second Legacy,Steel Fangs,Swiftskin's Coil,Swiftskin's Sting,Third Generation,Third Legacy,Twinblood Bite,Twinfang Bite,Uncoiled Fury,Uncoiled Twinblood,Uncoiled Twinfang,Vicewinder
-1200,90,Reaving Fangs,200,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,622,Auto,90,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2461,Swiftskin's Sting,300,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,0
2730,3262,Auto,90,1.0,180,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,0
3801,4381,Vicewinder,540,1.0,180,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,540
4970,5502,Auto,90,1.0,270,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,540
6352,7332,Hunter's Coil,680,1.0,270,0,0,0,0,0,0,0,0,0,680,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,540
7210,7742,Auto,90,1.0,360,0,0,0,0,0,0,0,0,0,680,0,0,200,0,0,0,0,0,300,0,0,0,0,0,0,0,540
7592,8212,Twinfang Bite,170,1.0,360,0,0,0,0,0,0,0,0,0,680,0,0,200,0,0,0,0,0,300,0,0,0,170,0,0,0,540
8212,8882,Twinblood Bite,170,1.0,360,0,0,0,0,0,0,0,0,0,680,0,0,200,0,0,0,0,0,300,0,0,170,170,0,0,0,540
8902,9522,Swiftskin's Coil,620,1.0,360,0,0,0,0,0,0,0,0,0,680,0,0,200,0,0,0,0,620,300,0,0,170,170,0,0,0,540
